"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"23.07.2025","4.37","5.73","5.66","4.34","118.64M","5.86%"
"22.07.2025","4.13","3.28","4.18","3.26","44.22M","26.69%"
"21.07.2025","3.26","3.13","3.29","3.11","3.23M","4.15%"
"18.07.2025","3.13","3.14","3.20","3.09","1.91M","0.64%"
"17.07.2025","3.11","3.11","3.15","3.09","1.62M","-0.32%"
"16.07.2025","3.12","3.10","3.15","3.06","2.29M","1.30%"
"15.07.2025","3.08","3.23","3.24","3.06","3.66M","-4.35%"
"14.07.2025","3.22","3.30","3.33","3.09","4.08M","-3.30%"
"11.07.2025","3.33","3.34","3.38","3.29","2.35M","-1.48%"
"10.07.2025","3.38","3.24","3.47","3.22","2.67M","3.05%"
"09.07.2025","3.28","3.33","3.34","3.23","2.56M","-1.50%"
"08.07.2025","3.33","3.16","3.37","3.14","3.73M","6.39%"
"07.07.2025","3.13","3.30","3.30","3.07","4.44M","-5.72%"
"03.07.2025","3.32","3.47","3.48","3.24","3.34M","-3.49%"
"02.07.2025","3.44","3.19","3.45","3.16","5.41M","7.84%"
"01.07.2025","3.19","2.91","3.21","2.85","9.48M","9.62%"
"30.06.2025","2.91","2.70","2.96","2.69","6.28M","9.81%"
"27.06.2025","2.65","2.70","2.71","2.61","4.15M","-0.75%"
"26.06.2025","2.67","2.61","2.68","2.56","2.46M","3.89%"
"25.06.2025","2.57","2.62","2.65","2.53","2.44M","-1.15%"
"24.06.2025","2.60","2.64","2.72","2.50","5.65M","-0.76%"
"23.06.2025","2.62","2.65","2.69","2.57","3.44M","-1.87%"
"20.06.2025","2.67","2.69","2.76","2.58","5.87M","0.00%"
"18.06.2025","2.67","2.70","2.74","2.66","2.90M","-1.84%"
"17.06.2025","2.72","2.78","2.79","2.69","2.72M","-3.55%"
"16.06.2025","2.82","2.70","2.83","2.64","4.05M","6.82%"
"13.06.2025","2.64","2.70","2.74","2.63","2.65M","-3.30%"
"12.06.2025","2.73","2.78","2.79","2.69","2.73M","-2.50%"
"11.06.2025","2.80","3.01","3.01","2.78","4.96M","-4.76%"
"10.06.2025","2.94","3.01","3.07","2.92","2.49M","-1.67%"
"09.06.2025","2.99","2.93","3.01","2.92","2.52M","2.40%"
"06.06.2025","2.92","2.93","2.95","2.86","2.35M","0.00%"
"05.06.2025","2.92","2.98","3.03","2.90","2.60M","-1.68%"
"04.06.2025","2.97","2.97","3.05","2.95","2.46M","0.34%"
"03.06.2025","2.96","2.85","2.99","2.77","2.89M","3.50%"
"02.06.2025","2.86","2.89","2.91","2.84","2.59M","-1.04%"
"30.05.2025","2.89","2.92","2.93","2.86","2.09M","-1.37%"
"29.05.2025","2.93","2.90","2.97","2.87","2.09M","0.69%"
"28.05.2025","2.91","2.96","2.98","2.88","2.61M","-2.35%"
"27.05.2025","2.98","2.97","3.08","2.92","3.72M","2.41%"
"23.05.2025","2.91","2.92","2.95","2.85","2.77M","-1.36%"
"22.05.2025","2.95","2.95","2.99","2.90","3.12M","-0.34%"
"21.05.2025","2.96","3.11","3.14","2.96","3.08M","-5.73%"
"20.05.2025","3.14","3.14","3.17","3.10","3.86M","0.32%"
"19.05.2025","3.13","3.10","3.15","3.03","4.12M","-1.26%"
"16.05.2025","3.17","3.21","3.29","3.16","4.20M","-1.25%"
"15.05.2025","3.21","3.09","3.23","3.04","5.25M","4.56%"
"14.05.2025","3.07","3.20","3.24","2.99","6.69M","-4.36%"
"13.05.2025","3.21","3.13","3.31","3.04","8.93M","3.88%"
"12.05.2025","3.09","2.82","3.18","2.80","16.61M","13.19%"
