"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","43.000","42.620","43.350","41.780","629.61K","1.39%"
"18.07.2025","42.410","42.600","42.740","41.780","1.22M","-0.45%"
"17.07.2025","42.600","41.700","42.970","41.550","2.83M","2.65%"
"16.07.2025","41.500","42.820","43.190","41.250","3.25M","-3.47%"
"15.07.2025","42.990","42.210","43.160","41.880","2.07M","1.32%"
"14.07.2025","42.430","41.820","42.650","41.230","2.01M","1.63%"
"11.07.2025","41.750","41.730","42.370","41.110","1.75M","0.55%"
"10.07.2025","41.520","43.120","43.150","41.120","2.02M","-3.82%"
"09.07.2025","43.170","41.770","43.300","41.770","3.05M","3.77%"
"08.07.2025","41.600","40.810","41.800","40.200","2.93M","2.44%"
"07.07.2025","40.610","41.630","41.690","40.120","2.49M","-1.55%"
"04.07.2025","41.250","42.480","42.480","41.170","471.29K","-3.26%"
"03.07.2025","42.640","41.300","42.870","41.210","5.21M","3.80%"
"02.07.2025","41.080","42.110","42.150","40.900","13.45M","-1.98%"
"01.07.2025","41.910","39.860","42.170","39.520","2.94M","4.54%"
"30.06.2025","40.090","41.510","41.780","40.010","4.94M","-3.42%"
"27.06.2025","41.510","39.980","41.700","39.980","4.83M","3.36%"
"26.06.2025","40.160","39.590","40.420","39.000","3.70M","2.50%"
"25.06.2025","39.180","39.200","39.550","38.860","3.06M","0.10%"
"24.06.2025","39.140","38.080","39.440","38.080","6.76M","3.11%"
"23.06.2025","37.960","37.790","38.740","37.410","2.36M","-0.05%"
"20.06.2025","37.980","38.940","39.400","37.750","10.81M","-2.11%"
"19.06.2025","38.800","39.890","39.890","38.550","902.55K","-0.31%"
"18.06.2025","38.920","39.530","39.550","38.620","2.46M","-1.04%"
"17.06.2025","39.330","39.400","40.280","39.120","3.48M","-0.41%"
"16.06.2025","39.490","39.590","40.750","39.170","5.22M","-0.78%"
"13.06.2025","39.800","40.710","41.070","39.700","4.61M","-2.95%"
"12.06.2025","41.010","40.730","41.290","40.510","3.02M","0.44%"
"11.06.2025","40.830","41.610","43.190","40.570","3.47M","-1.14%"
"10.06.2025","41.300","39.740","41.470","39.740","3.91M","2.25%"
"09.06.2025","40.390","40.220","40.600","39.620","1.42M","0.80%"
"06.06.2025","40.070","39.690","40.320","38.870","3.05M","1.70%"
"05.06.2025","39.400","38.750","39.600","38.390","3.13M","1.91%"
"04.06.2025","38.660","38.400","38.900","38.190","3.02M","0.29%"
"03.06.2025","38.550","38.440","38.690","38.260","2.59M","0.29%"
"02.06.2025","38.440","38.020","38.970","38.020","4.21M","0.58%"
"30.05.2025","38.220","37.920","38.450","37.720","6.62M","0.58%"
"29.05.2025","38.000","38.530","38.710","37.820","2.25M","-1.38%"
"28.05.2025","38.530","37.690","38.750","37.690","4.71M","1.64%"
"27.05.2025","37.910","37.420","38.500","37.300","3.47M","1.01%"
"26.05.2025","37.530","37.830","38.380","37.410","457.32K","-0.87%"
"23.05.2025","37.860","37.890","38.010","37.540","1.44M","-0.99%"
"22.05.2025","38.240","38.200","38.860","37.660","4.85M","0.05%"
"21.05.2025","38.220","38.720","39.150","37.830","4.05M","-1.77%"
"20.05.2025","38.910","38.960","39.550","38.530","6.66M","-1.42%"
"19.05.2025","39.470","38.160","39.950","37.190","3.45M","3.81%"
"16.05.2025","38.020","38.220","38.550","37.810","3.48M","-0.31%"
"15.05.2025","38.140","37.770","38.610","36.720","6.33M","-0.08%"
"14.05.2025","38.170","38.090","38.500","37.890","3.84M","0.21%"
"13.05.2025","38.090","37.360","38.420","37.170","4.39M","3.09%"
"12.05.2025","36.950","37.560","37.770","36.400","2.40M","0.11%"
"09.05.2025","36.910","37.520","38.260","36.770","3.45M","-1.52%"
"08.05.2025","37.480","38.020","39.030","37.160","5.36M","-1.94%"
"07.05.2025","38.220","36.000","38.730","36.000","8.18M","5.20%"
"06.05.2025","36.330","34.880","36.540","34.570","3.90M","4.61%"
"05.05.2025","34.730","35.140","35.150","34.110","2.14M","-0.83%"
"02.05.2025","35.020","34.060","35.240","33.700","4.95M","2.28%"
"30.04.2025","34.240","33.770","34.510","32.800","6.73M","0.79%"
"29.04.2025","33.970","34.340","35.010","33.770","4.67M","-0.59%"
"28.04.2025","34.170","34.130","34.580","33.560","3.56M","0.50%"
"25.04.2025","34.000","34.730","35.000","33.610","5.53M","-2.61%"
"24.04.2025","34.910","34.000","36.990","34.000","9.68M","2.77%"
"23.04.2025","33.970","32.400","34.440","32.360","7.63M","4.81%"
"22.04.2025","32.410","31.160","32.650","30.970","3.74M","4.35%"
"21.04.2025","31.060","30.750","31.250","30.630","2.52M","0.65%"
"16.04.2025","30.860","30.640","31.300","30.540","2.20M","0.78%"
"15.04.2025","30.620","31.000","31.000","30.350","2.82M","-0.26%"
"14.04.2025","30.700","30.610","31.400","30.130","3.46M","1.09%"
"11.04.2025","30.370","30.830","30.990","30.040","2.64M","-2.00%"
"10.04.2025","30.990","31.730","31.760","30.720","7.39M","-1.37%"
"09.04.2025","31.420","29.330","31.960","28.910","5.36M","6.69%"
"08.04.2025","29.450","30.120","30.500","28.950","7.06M","0.00%"
"07.04.2025","29.450","31.250","31.300","28.770","4.66M","-5.76%"
"04.04.2025","31.250","32.930","32.990","30.690","5.47M","-5.76%"
