"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"28.07.2025","156.58","159.27","158.88","155.10","300.07K","-1.22%"
"25.07.2025","158.51","160.68","161.50","157.36","907.81K","-1.85%"
"24.07.2025","161.49","163.09","163.09","158.40","617.07K","1.76%"
"23.07.2025","158.70","166.41","166.50","158.06","883.39K","-4.13%"
"22.07.2025","165.54","168.36","168.45","165.31","755.21K","-1.63%"
"21.07.2025","168.28","170.54","170.54","167.91","349.51K","-1.06%"
"18.07.2025","170.09","170.80","171.81","169.54","401.44K","-0.58%"
"17.07.2025","171.08","167.08","171.96","167.08","1.02M","2.39%"
"16.07.2025","167.08","168.20","168.36","165.60","769.73K","-0.35%"
"15.07.2025","167.66","166.42","168.80","164.70","1.08M","0.43%"
"14.07.2025","166.94","168.27","168.27","165.30","564.82K","-0.30%"
"11.07.2025","167.44","168.98","168.99","166.85","432.74K","-0.41%"
"10.07.2025","168.13","170.54","170.59","163.00","1.54M","0.35%"
"09.07.2025","167.54","175.90","175.90","167.01","1.03M","-4.70%"
"08.07.2025","175.81","184.11","184.11","174.22","1.20M","-4.03%"
"07.07.2025","183.20","183.77","185.04","180.63","744.76K","0.19%"
"04.07.2025","182.86","182.02","184.10","180.60","65.17K","0.92%"
"03.07.2025","181.20","182.88","182.88","180.02","240.35K","-0.71%"
"02.07.2025","182.49","180.09","182.79","178.17","1.06M","1.64%"
"01.07.2025","179.54","182.01","182.42","178.32","656.89K","-1.25%"
"30.06.2025","181.82","179.81","182.25","177.93","626.52K","1.67%"
"27.06.2025","178.84","176.01","179.36","176.01","778.55K","1.32%"
"26.06.2025","176.51","174.02","177.13","173.27","561.84K","1.44%"
"25.06.2025","174.00","177.50","178.70","173.23","579.08K","-2.77%"
"24.06.2025","178.95","183.32","183.32","178.66","579.60K","-2.19%"
"23.06.2025","182.96","181.18","185.50","179.00","1.45M","0.49%"
"20.06.2025","182.06","182.37","182.90","179.10","8.40M","-0.67%"
"19.06.2025","183.29","183.98","184.90","181.51","209.91K","2.11%"
"18.06.2025","179.50","180.92","181.52","178.72","662.71K","-0.66%"
"17.06.2025","180.69","184.45","185.52","180.00","786.10K","-1.76%"
"16.06.2025","183.92","183.95","186.56","182.82","964.32K","0.41%"
"13.06.2025","183.16","187.00","187.98","181.42","531.36K","-2.26%"
"12.06.2025","187.39","184.37","188.01","183.27","811.89K","1.14%"
"11.06.2025","185.28","184.15","185.69","182.32","902.02K","0.73%"
"10.06.2025","183.93","186.52","187.20","182.32","607.48K","-1.18%"
"09.06.2025","186.12","185.01","186.77","184.17","339.53K","0.48%"
"06.06.2025","185.23","184.53","187.00","182.20","384.80K","-0.12%"
"05.06.2025","185.46","185.10","185.89","183.83","249.67K","0.36%"
"04.06.2025","184.79","186.00","186.37","181.26","699.27K","-1.32%"
"03.06.2025","187.26","187.00","188.48","185.93","503.69K","-0.05%"
"02.06.2025","187.35","184.23","187.99","184.23","442.51K","1.70%"
"30.05.2025","184.22","186.50","186.98","183.38","2.30M","-1.22%"
"29.05.2025","186.49","187.00","187.51","184.61","596.12K","-0.24%"
"28.05.2025","186.94","185.50","187.46","184.50","675.37K","1.28%"
"27.05.2025","184.57","183.91","187.38","183.39","931.71K","0.36%"
"26.05.2025","183.91","184.21","184.49","181.10","140.40K","0.55%"
"23.05.2025","182.91","180.15","183.67","178.02","320.63K","1.50%"
"22.05.2025","180.20","184.99","184.99","179.05","381.98K","-2.38%"
"21.05.2025","184.59","180.47","185.00","179.65","568.25K","2.69%"
"20.05.2025","179.76","180.97","181.62","176.96","1.18M","-0.20%"
"19.05.2025","180.12","181.62","181.62","179.56","520.81K","-0.27%"
"16.05.2025","180.60","178.94","181.08","177.96","587.12K","1.11%"
"15.05.2025","178.61","175.42","179.20","175.42","2.05M","1.52%"
"14.05.2025","175.93","179.53","179.53","175.11","2.01M","-1.52%"
"13.05.2025","178.64","178.82","180.02","176.81","710.50K","-0.16%"
"12.05.2025","178.93","181.00","181.00","176.21","444.14K","-1.47%"
"09.05.2025","181.60","183.00","183.69","181.00","285.40K","-0.18%"
"08.05.2025","181.92","185.00","185.79","181.00","497.49K","-1.85%"
"07.05.2025","185.34","185.51","186.77","183.04","697.99K","-0.08%"
"06.05.2025","185.49","183.36","186.24","182.27","664.54K","1.26%"
"05.05.2025","183.18","183.02","183.86","181.57","375.19K","-0.28%"
"02.05.2025","183.70","184.89","185.69","182.90","578.62K","-0.55%"
"30.04.2025","184.71","182.98","185.20","181.43","995.23K","1.78%"
"29.04.2025","181.48","188.25","188.93","180.57","1.03M","-3.59%"
"28.04.2025","188.23","186.90","191.74","186.90","427.80K","-1.81%"
"25.04.2025","191.69","192.97","194.49","190.98","363.20K","-0.79%"
"24.04.2025","193.22","191.68","195.89","191.68","754.54K","0.39%"
"23.04.2025","192.46","190.82","197.04","190.16","572.61K","1.33%"
"22.04.2025","189.94","189.33","190.86","187.57","832.63K","-0.36%"
"21.04.2025","190.62","191.07","191.26","187.07","341.57K","0.80%"
"16.04.2025","189.11","190.89","191.76","188.25","600.61K","-0.95%"
"15.04.2025","190.92","189.31","192.63","187.08","667.74K","0.79%"
"14.04.2025","189.43","190.12","192.72","188.70","558.59K","-0.01%"
"11.04.2025","189.44","194.02","194.54","187.06","594.59K","-1.88%"
"10.04.2025","193.06","188.19","194.98","186.01","995.05K","0.03%"
"09.04.2025","193.01","185.15","194.49","185.15","2.26M","3.79%"
"08.04.2025","185.96","188.69","190.69","183.48","1.29M","-0.16%"
"07.04.2025","186.26","187.67","190.50","184.04","708.50K","-2.43%"
"04.04.2025","190.89","196.31","197.56","190.22","609.93K","-1.20%"
"03.04.2025","193.21","193.05","198.06","191.92","674.06K","-0.86%"
"02.04.2025","194.88","190.98","195.34","190.98","752.89K","2.05%"
"01.04.2025","190.97","188.00","191.49","187.57","647.37K","2.09%"
"31.03.2025","187.06","188.27","189.93","186.67","1.41M","-0.87%"
"28.03.2025","188.71","185.98","189.02","184.97","607.75K","1.54%"
"27.03.2025","185.85","182.32","186.28","181.17","515.04K","1.47%"
"26.03.2025","183.15","180.25","183.65","179.69","450.97K","1.67%"
"25.03.2025","180.14","177.34","180.83","176.39","896.82K","2.00%"
"24.03.2025","176.60","179.51","181.32","175.83","437.30K","-1.20%"
"21.03.2025","178.74","183.70","184.39","177.29","4.06M","-2.39%"
"20.03.2025","183.11","179.08","183.50","178.23","658.46K","2.34%"
"19.03.2025","178.93","178.40","180.00","177.06","416.25K","0.31%"
"18.03.2025","178.37","179.48","180.00","177.15","542.94K","0.33%"
"14.03.2025","177.78","176.27","178.40","176.25","513.51K","0.73%"
"13.03.2025","176.49","178.45","179.48","175.63","359.18K","-0.99%"
"12.03.2025","178.26","175.28","178.90","173.42","919.41K","2.20%"
"11.03.2025","174.42","171.98","175.25","171.47","676.89K","0.80%"
"10.03.2025","173.03","174.45","176.99","171.19","703.85K","-1.09%"
"07.03.2025","174.94","176.12","177.63","174.15","680.92K","-1.17%"
"06.03.2025","177.01","177.38","179.35","175.80","489.84K","-0.78%"
"05.03.2025","178.40","181.96","182.49","177.84","549.34K","-2.04%"
"04.03.2025","182.11","178.56","183.36","178.13","1.21M","1.48%"
"03.03.2025","179.46","182.49","185.83","179.04","394.11K","-1.94%"
"28.02.2025","183.01","182.00","183.79","179.75","3.61M","0.48%"
"27.02.2025","182.13","176.03","183.04","176.03","963.94K","2.82%"
"26.02.2025","177.14","179.58","180.99","176.41","1.02M","-1.20%"
"25.02.2025","179.29","180.64","182.80","178.13","748.84K","-1.22%"
"24.02.2025","181.50","179.84","181.91","177.52","430.71K","0.40%"
"21.02.2025","180.78","171.92","181.81","171.32","737.30K","5.04%"
"20.02.2025","172.10","171.55","172.69","169.56","864.93K","-0.38%"
"19.02.2025","172.75","172.69","173.50","171.25","424.73K","0.24%"
"18.02.2025","172.33","170.65","172.94","169.45","571.96K","-0.58%"
