"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","56.29","56.40","56.43","55.95","224.75K","-0.18%"
"18.07.2025","56.39","57.12","57.12","56.35","1.31M","-0.79%"
"17.07.2025","56.84","56.68","56.95","56.54","3.83M","0.39%"
"16.07.2025","56.62","56.19","56.80","56.19","2.60M","0.25%"
"15.07.2025","56.48","56.74","56.74","56.22","1.77M","0.04%"
"14.07.2025","56.46","56.69","56.69","56.20","3.79M","-0.41%"
"11.07.2025","56.69","56.77","56.77","56.22","3.17M","-0.05%"
"10.07.2025","56.72","56.44","56.81","56.34","2.36M","0.11%"
"09.07.2025","56.66","57.30","57.30","56.59","2.27M","-0.84%"
"08.07.2025","57.14","57.22","57.25","56.86","1.68M","-0.54%"
"07.07.2025","57.45","58.19","58.19","57.38","1.70M","-0.95%"
"04.07.2025","58.00","58.10","58.20","57.65","111.87K","-0.02%"
"03.07.2025","58.01","58.65","58.65","57.69","1.29M","-0.60%"
"02.07.2025","58.36","58.00","58.40","58.00","4.82M","1.07%"
"01.07.2025","57.74","57.69","57.87","57.55","11.14M","0.56%"
"30.06.2025","57.42","57.49","57.80","57.32","10.27M","0.03%"
"27.06.2025","57.40","57.50","57.65","57.35","2.56M","-0.80%"
"26.06.2025","57.86","57.22","57.95","57.06","2.61M","1.08%"
"25.06.2025","57.24","56.78","57.45","56.78","4.27M","0.30%"
"24.06.2025","57.07","56.69","57.15","56.62","4.17M","1.06%"
"23.06.2025","56.47","56.35","56.53","56.00","2.31M","-0.21%"
"20.06.2025","56.59","56.35","56.76","56.27","6.80M","-0.70%"
"19.06.2025","56.99","57.40","57.40","56.55","69.22K","-0.26%"
"18.06.2025","57.14","56.97","57.34","56.85","1.14M","0.16%"
"17.06.2025","57.05","57.66","57.66","56.88","1.57M","-0.61%"
"16.06.2025","57.40","58.10","58.10","57.31","4.05M","-0.71%"
"13.06.2025","57.81","57.90","57.96","57.70","1.28M","-0.67%"
"12.06.2025","58.20","58.02","58.47","57.91","1.27M","0.12%"
"11.06.2025","58.13","58.32","58.65","58.09","1.55M","-0.50%"
"10.06.2025","58.42","58.35","58.54","58.13","1.66M","0.36%"
"09.06.2025","58.21","58.30","58.48","58.17","3.59M","-0.34%"
"06.06.2025","58.41","57.77","58.52","57.64","2.07M","0.48%"
"05.06.2025","58.13","58.12","58.30","58.00","1.64M","0.54%"
"04.06.2025","57.82","58.10","58.27","57.75","1.24M","-0.29%"
