"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","28.05","27.58","28.49","27.57","49.41M","2.62%"
"18.07.2025","27.33","27.66","27.90","26.75","68.27M","0.04%"
"17.07.2025","27.32","26.96","27.51","26.42","85.33M","1.07%"
"16.07.2025","27.03","26.60","27.05","24.91","125.70M","-0.95%"
"15.07.2025","27.29","28.05","28.46","27.20","108.93M","2.98%"
"14.07.2025","26.50","26.64","26.77","25.32","99.67M","-2.89%"
"11.07.2025","27.29","26.85","27.54","26.55","71.86M","-0.29%"
"10.07.2025","27.37","27.39","27.73","26.66","87.60M","2.70%"
"09.07.2025","26.65","26.63","27.41","25.89","86.82M","1.06%"
"08.07.2025","26.37","25.63","27.03","25.36","90.46M","5.61%"
"07.07.2025","24.97","25.73","26.05","24.62","93.30M","-5.52%"
"03.07.2025","26.43","26.40","26.72","26.23","62.70M","1.46%"
"02.07.2025","26.05","24.51","26.39","24.45","107.16M","5.42%"
"01.07.2025","24.71","24.38","25.17","23.58","107.28M","-1.59%"
"30.06.2025","25.11","25.49","25.50","24.68","78.04M","0.00%"
"27.06.2025","25.11","25.21","25.84","24.28","113.66M","-0.36%"
"26.06.2025","25.20","25.18","25.35","24.59","92.38M","2.52%"
"25.06.2025","24.58","24.40","24.60","23.87","107.62M","2.63%"
"24.06.2025","23.95","22.66","24.03","22.63","137.61M","10.98%"
"23.06.2025","21.58","21.18","21.98","20.28","125.14M","1.74%"
"20.06.2025","21.21","22.14","22.33","20.37","137.08M","-1.85%"
"18.06.2025","21.61","21.72","22.38","21.23","113.89M","0.89%"
"17.06.2025","21.42","21.61","22.53","21.34","122.38M","-2.19%"
"16.06.2025","21.90","20.83","22.22","20.79","121.97M","9.28%"
"13.06.2025","20.04","20.32","21.06","19.84","166.99M","-7.61%"
"12.06.2025","21.69","21.24","22.07","21.09","100.38M","0.23%"
"11.06.2025","21.64","22.36","22.59","20.99","160.40M","-1.14%"
"10.06.2025","21.89","20.84","22.10","20.69","142.81M","6.37%"
"09.06.2025","20.58","19.71","21.06","19.68","162.69M","7.30%"
"06.06.2025","19.18","19.40","19.95","19.15","114.40M","1.97%"
"05.06.2025","18.81","19.49","19.99","18.42","188.99M","-1.47%"
"04.06.2025","19.09","18.68","19.26","18.22","146.33M","4.32%"
"03.06.2025","18.30","16.93","18.38","16.58","158.64M","8.28%"
"02.06.2025","16.90","16.06","17.09","16.04","103.94M","4.51%"
"30.05.2025","16.17","16.90","16.90","15.24","194.06M","-5.99%"
"29.05.2025","17.20","18.18","18.21","16.90","181.71M","0.94%"
"28.05.2025","17.04","17.43","17.57","16.90","126.79M","-1.45%"
"27.05.2025","17.29","16.74","17.51","16.35","136.54M","9.92%"
"23.05.2025","15.73","15.21","16.00","15.10","179.06M","-4.72%"
"22.05.2025","16.51","16.97","17.43","16.48","144.98M","-2.88%"
"21.05.2025","17.00","17.56","18.59","16.65","149.96M","-5.40%"
"20.05.2025","17.97","17.62","18.00","17.44","84.25M","-0.50%"
"19.05.2025","18.06","17.15","18.21","17.09","123.63M","-1.79%"
"16.05.2025","18.39","18.53","18.60","17.76","113.07M","-0.43%"
"15.05.2025","18.47","18.32","18.91","17.82","141.29M","-1.96%"
"14.05.2025","18.84","18.97","19.37","18.43","179.34M","1.29%"
"13.05.2025","18.60","17.36","18.86","17.28","212.93M","8.58%"
"12.05.2025","17.13","16.89","17.47","16.50","263.81M","21.40%"
"09.05.2025","14.11","14.21","14.47","13.74","149.64M","3.29%"
"08.05.2025","13.66","13.84","14.34","13.38","203.28M","2.86%"
"07.05.2025","13.28","12.61","13.40","12.23","190.95M","5.06%"
"06.05.2025","12.64","12.33","12.95","12.12","158.55M","-3.14%"
"05.05.2025","13.05","12.93","13.41","12.87","127.57M","-1.81%"
"02.05.2025","13.29","12.89","13.69","12.89","223.41M","9.83%"
"01.05.2025","12.10","12.53","12.81","12.05","203.35M","-0.49%"
"30.04.2025","12.16","10.99","12.21","10.75","229.39M","2.53%"
"29.04.2025","11.86","11.81","12.27","11.62","184.05M","-3.50%"
"28.04.2025","12.29","12.16","12.53","11.45","203.47M","-0.41%"
"25.04.2025","12.34","11.63","12.59","11.51","274.44M","2.83%"
"24.04.2025","12.00","11.05","12.09","10.85","339.64M","16.62%"
"23.04.2025","10.29","10.58","10.90","10.10","368.46M","12.09%"
"22.04.2025","9.18","8.95","9.40","8.85","249.21M","5.40%"
"21.04.2025","8.71","8.67","8.74","8.15","255.32M","-5.33%"
"17.04.2025","9.20","9.55","9.55","8.90","233.66M","-1.50%"
"16.04.2025","9.34","9.13","9.75","8.33","362.44M","-11.89%"
"15.04.2025","10.60","10.60","11.02","10.41","230.00M","1.24%"
"14.04.2025","10.47","11.15","11.16","9.97","358.85M","2.35%"
"11.04.2025","10.23","9.35","10.39","8.91","412.97M","6.23%"
"10.04.2025","9.63","10.91","11.14","8.35","686.33M","-24.59%"
"09.04.2025","12.77","8.48","13.11","8.24","787.75M","54.79%"
"08.04.2025","8.25","10.41","10.84","7.60","488.74M","-9.84%"
"07.04.2025","9.15","7.88","10.98","7.22","723.47M","4.81%"
"04.04.2025","8.73","10.05","10.43","8.18","499.16M","-23.49%"
"03.04.2025","11.41","13.81","14.12","11.40","302.52M","-29.83%"
"02.04.2025","16.26","15.19","16.89","15.03","141.66M","1.94%"
"01.04.2025","15.95","15.73","15.99","14.82","106.09M","0.00%"
"31.03.2025","15.95","15.07","15.98","14.40","111.35M","-0.50%"
"28.03.2025","16.03","17.33","17.59","15.74","138.23M","-9.74%"
"27.03.2025","17.76","18.17","18.41","17.36","103.11M","-5.48%"
"26.03.2025","18.79","20.30","20.51","18.20","95.65M","-8.56%"
"25.03.2025","20.55","20.83","21.02","20.35","57.78M","-2.14%"
"24.03.2025","21.00","20.48","21.37","20.37","91.67M","8.92%"
"21.03.2025","19.28","18.82","19.49","18.37","84.35M","-3.26%"
"20.03.2025","19.93","19.61","20.57","19.59","80.38M","-2.21%"
"19.03.2025","20.38","19.89","21.37","19.46","83.25M","2.26%"
"18.03.2025","19.93","20.19","20.40","19.52","79.14M","-4.14%"
"17.03.2025","20.79","19.51","21.28","19.50","82.79M","5.00%"
"14.03.2025","19.80","19.06","19.93","18.99","99.72M","9.45%"
"13.03.2025","18.09","18.38","19.27","17.58","117.16M","-1.15%"
"12.03.2025","18.30","18.54","19.11","17.90","137.65M","5.11%"
"11.03.2025","17.41","18.05","18.50","16.51","161.27M","-3.22%"
"10.03.2025","17.99","19.34","19.80","17.10","169.22M","-13.84%"
"07.03.2025","20.88","19.50","21.09","18.75","139.35M","8.58%"
"06.03.2025","19.23","19.71","21.02","19.01","164.28M","-12.39%"
"05.03.2025","21.95","21.25","22.16","20.12","117.70M","6.30%"
