"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","631.01","628.75","631.52","628.72","21.95M","0.55%"
"18.07.2025","627.58","629.30","629.47","626.46","65.62M","-0.07%"
"17.07.2025","628.04","624.40","628.40","624.18","68.89M","0.61%"
"16.07.2025","624.22","623.74","624.73","618.05","88.99M","0.33%"
"15.07.2025","622.14","627.52","627.86","622.06","74.32M","-0.43%"
"14.07.2025","624.81","623.16","625.16","621.80","51.90M","0.19%"
"11.07.2025","623.62","622.74","624.86","621.53","63.67M","-0.35%"
"10.07.2025","625.82","624.20","626.87","623.01","57.53M","0.28%"
"09.07.2025","624.06","622.77","624.72","620.91","66.11M","0.60%"
"08.07.2025","620.34","621.35","622.11","619.52","59.02M","-0.05%"
"07.07.2025","620.68","623.36","624.03","617.87","74.81M","-0.75%"
"03.07.2025","625.34","622.45","626.28","622.43","51.07M","0.79%"
"02.07.2025","620.45","617.24","620.49","616.61","66.51M","0.45%"
"01.07.2025","617.65","616.36","618.83","615.52","70.03M","-0.03%"
"30.06.2025","617.85","617.38","619.22","615.04","92.50M","0.48%"
"27.06.2025","614.91","612.88","616.39","610.83","86.26M","0.50%"
"26.06.2025","611.87","608.99","612.31","608.37","78.55M","0.78%"
"25.06.2025","607.12","607.91","608.61","605.54","62.11M","0.06%"
"24.06.2025","606.78","604.33","607.85","603.41","67.74M","1.10%"
"23.06.2025","600.15","595.04","600.54","591.89","87.43M","0.99%"
"20.06.2025","594.28","598.38","599.46","592.86","94.05M","-0.53%"
"18.06.2025","597.44","598.44","601.22","596.47","76.61M","-0.02%"
"17.06.2025","597.53","600.21","601.75","596.76","82.21M","-0.85%"
"16.06.2025","602.68","600.40","604.45","600.22","79.98M","0.95%"
"13.06.2025","597.00","598.50","601.85","595.48","89.51M","-1.12%"
"12.06.2025","603.75","600.01","603.75","599.52","64.13M","0.40%"
"11.06.2025","601.36","604.19","605.06","599.27","73.66M","-0.29%"
"10.06.2025","603.08","600.22","603.47","599.09","66.25M","0.57%"
"09.06.2025","599.68","599.72","601.25","598.49","53.02M","0.09%"
"06.06.2025","599.14","598.66","600.83","596.86","66.59M","1.03%"
"05.06.2025","593.05","597.63","599.00","591.05","92.44M","-0.48%"
"04.06.2025","595.93","596.96","597.95","595.49","57.31M","-0.03%"
"03.06.2025","596.09","592.34","597.08","591.85","63.61M","0.57%"
"02.06.2025","592.71","587.76","592.79","585.06","61.63M","0.56%"
"30.05.2025","589.39","588.93","591.13","583.23","90.60M","-0.11%"
"29.05.2025","590.05","593.06","593.20","586.07","70.07M","0.39%"
"28.05.2025","587.73","591.56","592.77","586.98","68.45M","-0.58%"
"27.05.2025","591.15","586.07","591.31","578.43","72.59M","2.08%"
"23.05.2025","579.11","575.98","581.81","575.60","76.03M","-0.68%"
"22.05.2025","583.09","582.66","586.62","581.41","70.86M","0.04%"
"21.05.2025","582.86","588.44","592.58","581.82","95.20M","-1.69%"
"20.05.2025","592.85","593.09","594.05","589.60","60.61M","-0.34%"
"19.05.2025","594.85","588.10","595.54","588.10","68.17M","0.11%"
"16.05.2025","594.20","591.25","594.50","589.28","76.05M","0.63%"
"15.05.2025","590.46","585.56","590.97","585.10","71.27M","0.49%"
"14.05.2025","587.59","587.81","588.98","585.53","66.28M","0.13%"
"13.05.2025","586.84","583.41","589.08","582.84","67.95M","0.66%"
"12.05.2025","582.99","581.47","583.00","577.04","78.99M","3.30%"
"09.05.2025","564.34","566.48","567.50","562.76","37.60M","-0.13%"
"08.05.2025","565.06","565.24","570.31","561.70","65.13M","0.70%"
"07.05.2025","561.15","560.15","563.82","556.04","55.73M","0.42%"
"06.05.2025","558.80","557.93","563.35","556.96","48.26M","-0.84%"
"05.05.2025","563.51","562.57","566.65","561.70","38.66M","-0.57%"
"02.05.2025","566.76","564.73","568.38","562.38","60.72M","1.48%"
"01.05.2025","558.47","560.37","564.07","557.86","63.19M","0.71%"
"30.04.2025","554.54","547.57","556.52","541.52","93.10M","0.04%"
"29.04.2025","554.32","548.91","555.45","548.55","47.78M","0.63%"
"28.04.2025","550.85","551.39","553.55","545.02","47.61M","0.04%"
"25.04.2025","550.64","546.65","551.05","543.69","61.12M","0.72%"
"24.04.2025","546.69","536.72","547.43","535.45","64.15M","2.10%"
"23.04.2025","535.42","540.43","545.43","533.88","90.59M","1.55%"
"22.04.2025","527.25","520.14","529.30","519.19","75.95M","2.60%"
"21.04.2025","513.88","521.16","521.70","508.46","69.37M","-2.38%"
"17.04.2025","526.41","527.64","531.16","523.91","79.87M","0.14%"
"16.04.2025","525.66","531.68","537.89","520.29","83.48M","-2.22%"
"15.04.2025","537.61","539.67","543.23","536.81","56.89M","-0.28%"
"14.04.2025","539.12","544.05","544.28","533.86","68.03M","0.97%"
"11.04.2025","533.94","523.01","536.43","520.07","97.87M","1.78%"
"10.04.2025","524.58","532.17","533.49","509.32","162.33M","-4.38%"
"09.04.2025","548.62","493.44","548.62","493.05","241.87M","10.50%"
