"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","18.6460","18.7130","18.7375","18.6251","","-0.39%"
"20.07.2025","18.7186","18.7130","18.7474","18.7157","","-0.12%"
"18.07.2025","18.7415","18.7820","18.7920","18.6882","","-0.22%"
"17.07.2025","18.7820","18.7090","18.8500","18.6991","","0.36%"
"16.07.2025","18.7153","18.8345","18.8530","18.6750","","-0.57%"
"15.07.2025","18.8220","18.7391","18.8890","18.6492","","0.42%"
"14.07.2025","18.7440","18.6450","18.7841","18.6443","","0.45%"
"13.07.2025","18.6602","18.6300","18.7016","18.6595","","0.11%"
"11.07.2025","18.6405","18.6280","18.7530","18.5936","","0.07%"
"10.07.2025","18.6280","18.6333","18.7105","18.5930","","-0.03%"
"09.07.2025","18.6332","18.6260","18.6605","18.5502","","0.07%"
"08.07.2025","18.6210","18.6700","18.7445","18.5793","","-0.24%"
"07.07.2025","18.6660","18.6001","18.7727","18.6001","","0.20%"
"04.07.2025","18.6285","18.6365","18.6835","18.6000","","-0.06%"
"03.07.2025","18.6395","18.8140","18.8480","18.6230","","-0.96%"
"02.07.2025","18.8205","18.7357","18.8305","18.7147","","0.46%"
"01.07.2025","18.7350","18.7422","18.8310","18.6599","","-0.06%"
"30.06.2025","18.7470","18.8185","18.9023","18.7373","","-0.41%"
"27.06.2025","18.8250","18.8850","18.9285","18.8064","","-0.37%"
"26.06.2025","18.8940","18.9280","18.9685","18.8433","","-0.18%"
"25.06.2025","18.9280","19.0155","19.0469","18.8968","","-0.46%"
"24.06.2025","19.0155","19.1251","19.1605","18.9467","","-0.57%"
"23.06.2025","19.1251","19.1850","19.3472","19.1146","","-0.26%"
"20.06.2025","19.1744","19.0365","19.2050","19.0068","","0.72%"
"19.06.2025","19.0365","19.0020","19.1220","18.9922","","0.14%"
"18.06.2025","19.0095","19.0150","19.0550","18.9421","","-0.03%"
"17.06.2025","19.0145","18.9150","19.0580","18.8976","","0.47%"
"16.06.2025","18.9255","18.9610","18.9768","18.8224","","-0.19%"
"13.06.2025","18.9620","18.8815","19.1090","18.8727","","0.43%"
"12.06.2025","18.8815","18.9149","18.9855","18.8544","","-0.16%"
"11.06.2025","18.9112","19.0655","19.0835","18.8247","","-0.81%"
"10.06.2025","19.0655","19.0545","19.1030","19.0252","","0.12%"
"09.06.2025","19.0431","19.1075","19.1171","19.0214","","-0.38%"
"06.06.2025","19.1155","19.1665","19.2270","19.0897","","-0.23%"
"05.06.2025","19.1597","19.1986","19.2315","19.1367","","-0.19%"
"04.06.2025","19.1962","19.2440","19.2592","19.1602","","-0.22%"
"03.06.2025","19.2390","19.2065","19.2895","19.1951","","0.09%"
"02.06.2025","19.2215","19.4280","19.4452","19.1889","","-1.07%"
