"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","52.250","53.660","53.700","51.860","11.21M","-2.17%"
"18.07.2025","53.410","53.690","53.740","52.580","65.90M","-0.15%"
"17.07.2025","53.490","56.400","56.400","53.110","73.90M","-7.04%"
"16.07.2025","57.540","57.500","57.980","57.080","20.93M","-0.17%"
"15.07.2025","57.640","57.800","58.190","57.010","23.73M","-0.09%"
"14.07.2025","57.690","58.510","58.690","57.020","19.04M","-1.35%"
"11.07.2025","58.480","58.690","59.200","58.020","28.05M","-0.36%"
"10.07.2025","58.690","58.290","58.880","57.510","19.69M","0.69%"
"09.07.2025","58.290","58.770","58.980","57.510","24.82M","-0.82%"
"08.07.2025","58.770","59.560","59.940","58.040","13.47M","-1.18%"
"07.07.2025","59.470","60.970","61.290","59.320","18.99M","-2.46%"
"04.07.2025","60.970","61.290","61.350","60.610","1.96M","-0.08%"
"03.07.2025","61.020","62.910","63.440","60.560","21.61M","-2.76%"
"02.07.2025","62.750","62.800","62.990","62.050","23.09M","0.08%"
"01.07.2025","62.700","62.150","63.080","61.900","20.83M","0.88%"
"30.06.2025","62.150","63.740","64.530","62.020","22.56M","-3.00%"
"27.06.2025","64.070","63.390","64.340","63.110","15.44M","0.57%"
"26.06.2025","63.710","63.320","64.440","63.260","19.23M","0.11%"
"25.06.2025","63.640","62.630","63.930","62.620","19.71M","0.94%"
"24.06.2025","63.050","60.670","63.350","60.600","21.25M","3.39%"
"23.06.2025","60.980","60.350","61.100","60.000","16.19M","0.54%"
"20.06.2025","60.650","60.380","61.020","59.740","46.47M","-0.07%"
"19.06.2025","60.690","61.690","61.690","60.500","3.67M","-2.11%"
"18.06.2025","62.000","60.940","62.370","60.940","17.08M","1.22%"
"17.06.2025","61.250","61.050","61.870","60.810","17.36M","-0.41%"
"16.06.2025","61.500","63.000","63.020","61.420","18.23M","-2.21%"
"13.06.2025","62.890","63.090","63.400","62.500","16.94M","-0.32%"
"12.06.2025","63.090","63.620","64.490","62.860","24.52M","-1.17%"
"11.06.2025","63.840","65.040","65.040","63.400","16.77M","-1.51%"
"10.06.2025","64.820","64.160","65.090","63.930","13.07M","0.76%"
"09.06.2025","64.330","63.800","65.000","63.660","7.24M","0.83%"
"06.06.2025","63.800","64.820","64.920","61.730","19.97M","-1.85%"
"05.06.2025","65.000","64.080","65.670","64.080","24.50M","0.90%"
"04.06.2025","64.420","63.650","64.630","63.650","20.22M","0.85%"
"03.06.2025","63.880","64.000","64.590","63.750","17.82M","-0.50%"
"02.06.2025","64.200","63.720","65.490","63.450","19.07M","0.78%"
"30.05.2025","63.700","65.480","65.480","63.320","50.57M","-2.79%"
"29.05.2025","65.530","65.800","66.370","65.260","20.20M","-0.27%"
"28.05.2025","65.710","65.940","66.480","64.010","25.09M","0.09%"
"27.05.2025","65.650","65.100","67.340","65.100","31.09M","0.24%"
"26.05.2025","65.490","65.150","65.680","64.210","2.25M","0.05%"
"23.05.2025","65.460","64.900","65.730","63.960","18.19M","0.80%"
"22.05.2025","64.940","65.840","66.310","64.520","19.02M","-1.87%"
"21.05.2025","66.180","65.690","66.260","64.710","19.18M","0.96%"
"20.05.2025","65.550","64.670","66.230","64.670","30.17M","0.86%"
"19.05.2025","64.990","64.410","65.440","63.210","35.16M","1.18%"
"16.05.2025","64.230","64.010","64.850","63.920","9.28M","0.52%"
"15.05.2025","63.900","64.510","64.960","63.140","21.77M","-1.71%"
"14.05.2025","65.010","63.890","65.100","63.450","19.47M","1.82%"
"13.05.2025","63.850","63.490","65.000","62.840","20.84M","0.74%"
"12.05.2025","63.380","62.590","63.790","60.680","17.05M","2.00%"
"09.05.2025","62.140","62.840","63.410","61.880","40.77M","-1.60%"
"08.05.2025","63.150","65.000","65.540","62.940","16.05M","-3.34%"
"07.05.2025","65.330","64.110","65.680","63.710","21.94M","1.49%"
"06.05.2025","64.370","61.360","64.580","60.610","10.22M","5.16%"
"05.05.2025","61.210","60.420","61.310","60.130","7.56M","0.71%"
"02.05.2025","60.780","62.130","62.390","60.510","20.30M","-2.20%"
"30.04.2025","62.150","59.990","62.440","59.610","24.00M","4.07%"
"29.04.2025","59.720","62.530","62.690","59.520","10.27M","-4.06%"
"28.04.2025","62.250","61.410","62.560","61.160","16.22M","1.87%"
"25.04.2025","61.110","62.510","62.890","60.730","14.12M","-2.29%"
"24.04.2025","62.540","62.070","63.000","61.510","43.17M","0.58%"
"23.04.2025","62.180","63.570","64.240","61.710","25.36M","-2.09%"
"22.04.2025","63.510","60.550","63.770","60.410","64.12M","4.47%"
"21.04.2025","60.790","59.240","61.180","59.240","21.48M","3.24%"
"16.04.2025","58.880","57.380","59.120","57.200","19.16M","3.14%"
"15.04.2025","57.090","56.660","57.750","56.340","14.09M","0.87%"
"14.04.2025","56.600","55.980","56.930","55.840","19.43M","1.69%"
"11.04.2025","55.660","56.380","57.500","55.520","26.24M","-0.91%"
"10.04.2025","56.170","57.610","58.000","55.710","23.18M","-3.04%"
"09.04.2025","57.930","56.170","58.500","54.560","32.10M","2.84%"
"08.04.2025","56.330","57.390","57.580","56.020","25.50M","-1.09%"
"07.04.2025","56.950","56.000","57.360","54.690","24.38M","0.26%"
