"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2025","165.290","160.330","165.290","160.370","1.67M","3.60%"
"07/22/2025","159.550","159.860","160.530","155.500","7.40M","-0.19%"
"07/21/2025","159.860","161.720","162.490","159.520","6.07M","-0.87%"
"07/18/2025","161.270","163.490","164.190","161.010","4.57M","-1.06%"
"07/17/2025","162.990","164.760","167.200","162.750","6.48M","-1.08%"
"07/16/2025","164.770","163.220","165.220","162.510","5.47M","0.95%"
"07/15/2025","163.220","161.690","163.700","161.310","6.24M","1.42%"
"07/14/2025","160.930","163.000","163.320","160.610","6.41M","-1.14%"
"07/11/2025","162.790","165.820","166.350","161.680","7.42M","-1.83%"
"07/10/2025","165.820","171.170","172.030","165.540","7.39M","-3.80%"
"07/09/2025","172.370","174.170","175.210","171.620","3.25M","-1.23%"
"07/08/2025","174.510","172.010","174.830","170.410","3.68M","0.74%"
"07/07/2025","173.220","173.000","174.990","171.610","3.81M","0.41%"
"07/04/2025","172.510","173.890","174.490","171.970","814.97K","-0.40%"
"07/03/2025","173.200","173.920","177.500","171.060","4.02M","-1.06%"
"07/02/2025","175.050","173.090","175.820","172.740","6.34M","1.55%"
"07/01/2025","172.380","171.520","173.080","170.150","4.45M","0.50%"
"06/30/2025","171.520","173.020","176.490","170.210","5.78M","-1.89%"
"06/27/2025","174.820","174.380","176.790","173.500","5.71M","0.76%"
"06/26/2025","173.500","174.200","174.940","170.300","6.20M","-0.38%"
"06/25/2025","174.160","171.250","174.860","171.140","4.34M","1.63%"
"06/24/2025","171.360","166.900","172.400","166.900","3.61M","2.41%"
"06/23/2025","167.330","167.000","169.230","165.000","5.40M","-1.13%"
"06/20/2025","169.240","168.960","170.080","167.500","19.11M","0.15%"
"06/19/2025","168.980","170.580","173.000","168.210","1.10M","-0.61%"
"06/18/2025","170.020","170.480","171.790","169.120","4.47M","0.16%"
"06/17/2025","169.750","170.600","172.470","169.010","3.23M","-0.45%"
"06/16/2025","170.510","174.010","175.300","170.010","5.76M","-1.79%"
"06/13/2025","173.610","175.490","175.500","171.010","5.25M","-0.78%"
"06/12/2025","174.980","173.090","175.860","172.100","4.62M","1.31%"
"06/11/2025","172.710","175.390","178.390","172.180","5.10M","-1.22%"
"06/10/2025","174.840","172.880","175.010","172.810","4.33M","0.63%"
"06/09/2025","173.750","172.630","174.990","172.630","2.50M","0.18%"
"06/06/2025","173.440","170.830","174.000","168.810","5.33M","1.53%"
"06/05/2025","170.830","171.250","172.290","170.040","5.26M","-0.31%"
"06/04/2025","171.360","172.690","173.810","170.850","4.56M","-0.41%"
"06/03/2025","172.070","171.050","173.480","171.040","5.45M","-0.16%"
"06/02/2025","172.340","172.100","174.840","171.180","7.57M","0.51%"
"05/30/2025","171.460","175.410","175.700","170.770","21.15M","-2.46%"
"05/29/2025","175.790","177.060","178.090","175.260","9.70M","-0.55%"
"05/28/2025","176.770","176.200","177.710","175.010","7.88M","0.63%"
"05/27/2025","175.670","172.260","179.930","172.260","8.48M","1.98%"
"05/26/2025","172.260","172.020","172.890","169.010","750.88K","-0.67%"
"05/23/2025","173.430","170.000","173.790","165.080","5.72M","1.37%"
"05/22/2025","171.080","170.450","172.000","169.610","5.33M","0.16%"
"05/21/2025","170.810","172.560","173.210","169.000","7.33M","-1.28%"
"05/20/2025","173.030","177.000","178.090","172.510","9.13M","-2.29%"
"05/19/2025","177.080","173.980","180.820","173.980","6.33M","1.43%"
"05/16/2025","174.580","174.500","175.500","172.760","6.78M","0.11%"
"05/15/2025","174.380","171.000","174.980","168.810","7.59M","2.27%"
"05/14/2025","170.510","168.600","171.380","167.410","6.76M","0.63%"
"05/13/2025","169.450","164.590","170.490","163.740","9.79M","3.20%"
"05/12/2025","164.200","162.890","166.700","161.500","7.28M","1.48%"
"05/09/2025","161.810","161.820","166.500","161.000","9.18M","-0.20%"
"05/08/2025","162.130","169.790","173.010","161.500","9.12M","-4.09%"
"05/07/2025","169.040","169.050","173.960","167.810","9.27M","-0.18%"
"05/06/2025","169.340","162.390","170.010","160.860","7.59M","4.59%"
"05/05/2025","161.910","163.580","163.670","160.230","3.84M","-1.08%"
"05/02/2025","163.670","163.000","164.970","158.620","8.10M","-2.88%"
"04/30/2025","168.520","165.990","168.990","163.410","12.28M","1.93%"
"04/29/2025","165.330","167.500","169.180","164.140","9.74M","-1.12%"
"04/28/2025","167.200","164.290","170.000","163.130","9.18M","2.11%"
"04/25/2025","163.750","161.490","164.260","159.280","7.32M","1.78%"
"04/24/2025","160.880","159.790","162.790","159.320","7.66M","0.68%"
"04/23/2025","159.790","157.260","166.200","157.060","11.37M","1.61%"
"04/22/2025","157.260","150.990","158.500","150.080","7.15M","4.47%"
"04/21/2025","150.530","147.990","151.200","147.940","5.16M","2.26%"
"04/16/2025","147.210","148.250","148.880","146.360","7.39M","-0.57%"
"04/15/2025","148.050","144.980","150.480","144.980","5.45M","2.12%"
"04/14/2025","144.980","142.500","146.010","142.500","2.48M","2.37%"
"04/11/2025","141.620","144.390","148.000","141.300","6.78M","-2.46%"
"04/10/2025","145.190","149.010","149.990","144.010","7.67M","-3.48%"
"04/09/2025","150.420","138.160","151.620","135.950","12.20M","8.87%"
"04/08/2025","138.160","137.000","140.310","137.000","7.53M","1.59%"
"04/07/2025","136.000","143.910","143.910","134.610","6.56M","-5.51%"
"04/04/2025","143.930","153.010","153.030","141.070","7.05M","-6.79%"
"04/03/2025","154.410","144.280","156.080","144.000","12.78M","6.48%"
"04/02/2025","145.010","144.100","145.860","143.040","4.44M","0.41%"
"04/01/2025","144.420","142.490","145.310","141.110","5.37M","1.75%"
"03/31/2025","141.930","146.000","146.000","141.610","6.56M","-2.73%"
"03/28/2025","145.910","146.020","147.340","144.410","3.96M","-0.95%"
"03/27/2025","147.310","144.350","147.700","144.330","7.94M","2.08%"
"03/26/2025","144.310","147.360","148.990","143.860","6.14M","-2.33%"
"03/25/2025","147.760","149.370","150.790","146.870","4.70M","-1.08%"
"03/24/2025","149.370","151.200","151.300","149.000","5.00M","-1.09%"
"03/21/2025","151.010","150.800","151.350","148.210","16.66M","0.46%"
"03/20/2025","150.320","150.080","150.810","148.410","3.83M","0.58%"
"03/19/2025","149.450","149.070","150.440","147.410","7.15M","0.34%"
"03/18/2025","148.940","147.340","151.000","145.010","8.13M","1.58%"
"03/14/2025","146.630","145.320","149.750","145.320","8.82M","0.96%"
"03/13/2025","145.240","144.960","148.240","142.310","6.93M","-0.58%"
"03/12/2025","146.080","144.290","146.990","143.140","7.92M","1.79%"
"03/11/2025","143.510","142.990","145.110","141.890","5.44M","0.77%"
"03/10/2025","142.410","147.670","147.880","141.810","8.01M","-3.78%"
"03/07/2025","148.010","147.620","148.330","143.780","6.02M","0.77%"
"03/06/2025","146.880","147.770","150.760","145.560","6.88M","-0.60%"
"03/05/2025","147.770","149.580","149.580","145.860","7.08M","-1.41%"
"03/04/2025","149.880","146.750","151.020","141.250","6.92M","1.88%"
"03/03/2025","147.110","145.490","150.970","144.980","5.17M","1.57%"
"02/28/2025","144.840","146.240","148.000","144.230","24.58M","-1.65%"
"02/27/2025","147.270","151.790","151.790","144.560","7.85M","-2.51%"
"02/26/2025","151.060","147.010","153.400","147.010","9.28M","2.39%"
"02/25/2025","147.540","150.730","152.040","147.030","11.36M","-2.59%"
"02/24/2025","151.460","153.480","153.590","151.010","4.39M","-0.90%"
"02/21/2025","152.830","155.100","155.990","152.170","3.51M","-1.46%"
"02/20/2025","155.100","155.800","156.700","154.110","8.50M","-0.39%"
"02/19/2025","155.700","157.390","157.490","154.610","5.52M","-0.80%"
"02/18/2025","156.950","153.290","157.390","153.000","7.33M","2.89%"
"02/17/2025","152.540","150.000","154.970","150.000","1.22M","0.57%"
"02/14/2025","151.670","149.460","152.850","148.180","4.10M","1.34%"
"02/13/2025","149.670","149.390","150.400","148.080","7.55M","0.23%"
"02/12/2025","149.320","147.500","150.720","147.010","7.79M","-0.75%"
"02/11/2025","150.450","148.470","152.120","146.240","5.60M","1.79%"
"02/10/2025","147.800","147.150","148.700","145.030","4.68M","0.67%"
"02/07/2025","146.810","146.380","148.290","146.000","6.69M","0.23%"
"02/06/2025","146.480","145.640","147.050","143.170","6.14M","0.69%"
"02/05/2025","145.470","148.200","149.690","145.000","12.80M","-1.49%"
"02/04/2025","147.670","144.000","148.150","143.510","14.51M","3.12%"
