"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","9,017.00","8,973.29","9,040.00","8,971.00","0.82K","0.90%"
"26.09.2024","8,936.39","8,860.00","8,979.93","8,859.99","4.09K","0.86%"
"25.09.2024","8,860.02","8,839.52","8,998.18","8,791.30","1.39K","1.14%"
"24.09.2024","8,760.00","8,762.00","8,819.98","8,748.00","0.76K","-0.64%"
"23.09.2024","8,816.55","8,882.00","9,028.98","8,776.44","5.74K","-0.38%"
"20.09.2024","8,850.00","8,861.97","9,023.48","8,825.00","0.27K","0.06%"
"19.09.2024","8,845.00","8,900.00","9,023.99","8,830.00","0.49K","0.50%"
"18.09.2024","8,801.00","8,754.85","8,840.00","8,750.00","0.24K","0.82%"
"17.09.2024","8,729.00","8,701.04","8,850.00","8,701.03","0.29K","1.51%"
"13.09.2024","8,599.00","8,800.11","8,800.11","8,599.00","1.04K","-2.29%"
"12.09.2024","8,800.11","9,000.00","9,046.78","8,795.00","0.53K","-1.95%"
"11.09.2024","8,975.00","9,205.50","9,205.50","8,887.00","1.56K","-2.76%"
"10.09.2024","9,230.00","9,182.63","9,230.00","9,181.36","0.13K","0.78%"
"09.09.2024","9,158.13","9,218.00","9,260.00","9,150.95","0.48K","-0.46%"
"06.09.2024","9,200.00","9,196.05","9,400.00","9,196.05","0.46K","-0.86%"
"05.09.2024","9,279.99","9,500.00","9,520.00","9,279.99","1.32K","-2.83%"
"04.09.2024","9,549.99","9,499.99","9,595.00","9,438.60","0.49K","0.58%"
"03.09.2024","9,494.83","9,527.00","9,570.00","9,445.00","5.86K","2.20%"
"30.08.2024","9,290.02","9,314.00","9,314.00","9,250.00","0.38K","0.55%"
"29.08.2024","9,239.52","9,170.00","9,393.98","9,170.00","1.86K","1.77%"
"28.08.2024","9,079.22","9,010.00","9,143.68","9,010.00","1.06K","-0.21%"
"27.08.2024","9,098.00","8,895.00","9,199.98","8,895.00","0.72K","3.76%"
"26.08.2024","8,768.53","8,768.00","8,867.98","8,768.00","0.74K","1.47%"
"23.08.2024","8,641.26","8,697.00","8,715.00","8,592.00","0.38K","-0.68%"
"22.08.2024","8,700.00","8,752.00","8,752.00","8,700.00","0.10K","1.08%"
"21.08.2024","8,606.68","8,620.97","8,652.00","8,595.05","0.27K","-0.19%"
"20.08.2024","8,622.98","8,455.00","8,622.98","8,437.10","0.45K","2.65%"
"19.08.2024","8,399.99","8,382.00","8,439.98","8,382.00","0.38K","1.51%"
"16.08.2024","8,275.01","8,249.98","8,290.00","8,240.00","0.82K","0.30%"
"15.08.2024","8,249.98","8,200.00","8,257.00","8,200.00","0.16K","-0.16%"
"14.08.2024","8,263.00","8,150.00","8,267.00","8,150.00","0.47K","0.95%"
"13.08.2024","8,185.01","8,200.00","8,244.98","8,165.90","0.52K","-0.04%"
