"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"24.09.2024","696.010","696.010","696.010","696.010","0.02K","20.83%"
"06.09.2024","576.020","593.000","593.000","576.020","0.03K","-4.78%"
"05.09.2024","604.910","604.910","604.910","604.910","0.01K","1.22%"
"04.09.2024","597.610","597.610","597.610","597.610","0.01K","0.61%"
"03.09.2024","594.000","594.000","594.000","594.000","0.01K","-7.55%"
"21.08.2024","642.500","642.500","642.500","642.500","0.23K","0.94%"
"19.08.2024","636.500","636.500","636.500","636.500","0.22K","8.06%"
"01.08.2024","589.000","589.000","589.000","589.000","","-0.51%"
"30.07.2024","592.000","611.000","611.000","591.000","0.11K","-3.17%"
"23.07.2024","611.410","611.410","611.410","611.410","","-8.74%"
"17.07.2024","670.000","681.490","681.490","670.000","0.32K","-4.49%"
"15.07.2024","701.500","701.500","701.500","701.500","","-3.92%"
"02.07.2024","730.100","730.100","730.100","730.100","0.11K","2.83%"
"13.06.2024","710.000","710.000","710.000","710.000","0.05K","-4.31%"
"12.06.2024","742.000","742.000","742.000","742.000","0.07K","-0.03%"
"11.06.2024","742.250","742.250","742.250","742.250","0.50K","-2.40%"
"10.06.2024","760.500","760.500","760.500","760.500","2.22K","1.94%"
"06.06.2024","746.000","746.000","746.000","746.000","0.02K","-3.12%"
"03.06.2024","770.000","770.000","770.000","770.000","0.01K","1.85%"
"30.05.2024","756.000","749.900","763.000","749.900","0.93K","10.02%"
"28.05.2024","687.160","711.000","720.000","679.130","0.17K","0.61%"
"23.05.2024","683.000","683.000","683.000","683.000","3.84K","-3.19%"
"22.05.2024","705.500","704.000","705.500","703.100","7.68K","2.99%"
"17.05.2024","685.000","685.000","685.000","685.000","0.15K","2.39%"
"16.05.2024","669.000","669.000","669.000","669.000","0.05K","0.02%"
"15.05.2024","668.890","655.000","668.890","650.000","0.07K","-0.91%"
"13.05.2024","675.000","630.000","675.000","630.000","0.27K","6.28%"
"07.05.2024","635.140","635.140","635.140","635.140","0.61K","-2.29%"
"06.05.2024","650.000","638.000","650.000","638.000","0.04K","1.88%"
"29.04.2024","638.000","638.000","638.000","638.000","3.00K","3.40%"
"25.04.2024","617.000","617.000","617.000","617.000","0.03K","2.85%"
"17.04.2024","599.880","617.500","617.500","588.010","0.96K","-2.77%"
"15.04.2024","617.000","617.000","617.000","617.000","0.06K","2.83%"
"09.04.2024","600.000","600.000","600.000","600.000","0.10K","0.00%"
"05.04.2024","600.000","600.000","600.000","600.000","0.26K","-2.49%"
"04.04.2024","615.300","608.000","615.300","608.000","0.65K","-0.03%"
"03.04.2024","615.500","590.750","615.500","590.750","0.41K","4.19%"
"02.04.2024","590.770","584.400","591.410","578.020","0.27K","9.20%"
"27.03.2024","541.000","541.000","541.000","541.000","0.01K","3.44%"
"22.03.2024","523.000","523.000","523.000","523.000","0.07K","4.96%"
"12.03.2024","498.300","498.300","498.300","498.300","0.01K","-2.68%"
"11.03.2024","512.000","512.000","512.000","512.000","0.09K","2.22%"
"08.03.2024","500.890","501.160","501.160","492.010","0.52K","-0.87%"
"07.03.2024","505.280","499.000","506.200","499.000","1.35K","8.90%"
"06.03.2024","464.000","464.000","464.000","464.000","0.04K","0.30%"
"04.03.2024","462.590","463.030","463.030","462.590","0.28K","-1.58%"
"01.03.2024","470.000","470.000","470.000","470.000","0.08K","3.30%"
"28.02.2024","455.000","455.000","455.000","455.000","0.01K","5.81%"
"26.02.2024","430.000","432.000","432.000","429.150","0.34K","-4.87%"
"20.02.2024","452.010","452.010","452.010","452.010","0.02K","0.00%"
"15.02.2024","452.010","465.000","465.000","452.010","0.77K","-3.91%"
"07.02.2024","470.390","470.390","470.390","470.390","0.04K","-0.26%"
"06.02.2024","471.600","465.250","471.600","465.250","0.16K","-3.36%"
"01.02.2024","488.010","488.010","488.010","488.010","0.01K","4.05%"
"22.01.2024","469.000","473.820","473.820","469.000","0.31K","-6.20%"
"12.01.2024","500.010","516.000","516.000","500.010","0.86K","-6.56%"
"10.01.2024","535.100","535.100","535.100","535.100","7.78K","0.73%"
"09.01.2024","531.210","531.210","531.210","531.210","0.03K","-1.45%"
"08.01.2024","539.000","539.000","539.000","539.000","0.01K","-2.07%"
"05.01.2024","550.390","550.390","550.390","550.390","0.02K","4.24%"
"04.01.2024","528.010","531.000","531.000","528.010","0.75K","-4.35%"
"02.01.2024","552.010","552.010","552.010","552.010","0.02K","-7.22%"
"29.12.2023","594.990","594.990","594.990","594.990","0.03K","2.41%"
"28.12.2023","581.000","581.000","581.000","581.000","0.75K","3.93%"
"22.12.2023","559.010","582.910","582.910","559.010","0.69K","3.71%"
"21.12.2023","539.000","539.000","539.000","539.000","0.05K","6.06%"
"20.12.2023","508.210","541.210","541.210","508.210","0.43K","-6.20%"
"19.12.2023","541.810","543.780","560.000","541.810","8.39K","0.34%"
"15.12.2023","539.980","549.000","549.000","539.980","0.21K","6.30%"
"14.12.2023","508.000","487.000","508.000","487.000","5.69K","14.93%"
