"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","17.96","18.17","18.19","17.96","52.58K","-3.18%"
"26.09.2024","18.55","18.68","18.75","18.55","63.36K","1.42%"
"25.09.2024","18.29","18.40","18.45","18.29","60.54K","-1.98%"
"24.09.2024","18.66","18.15","18.66","17.50","65.86K","4.30%"
"23.09.2024","17.89","17.89","17.89","17.89","50.02K","0.90%"
"20.09.2024","17.73","18.08","18.08","17.73","51.00K","-2.74%"
"19.09.2024","18.23","18.23","18.23","18.23","50.04K","1.17%"
"18.09.2024","18.02","18.00","18.02","18.00","51.07K","1.07%"
"17.09.2024","17.83","18.00","18.00","17.83","50.31K","0.96%"
"13.09.2024","17.66","17.84","17.90","17.66","51.20K","0.00%"
"12.09.2024","17.66","17.47","17.75","17.42","60.78K","3.03%"
"11.09.2024","17.14","16.90","17.14","16.90","52.05K","0.94%"
"10.09.2024","16.98","17.05","17.05","16.98","50.79K","-0.53%"
"09.09.2024","17.07","16.79","17.07","16.79","50.14K","0.23%"
"06.09.2024","17.03","17.70","17.85","16.95","219.88K","-2.07%"
"05.09.2024","17.39","17.75","17.75","17.39","51.43K","-0.57%"
"04.09.2024","17.49","17.49","17.49","17.49","50.12K","1.04%"
"03.09.2024","17.31","17.31","17.31","17.31","50.08K","-3.19%"
"02.09.2024","17.88","17.64","17.88","17.64","50.81K","2.17%"
"29.08.2024","17.50","17.15","17.50","17.15","50.38K","2.70%"
"28.08.2024","17.04","17.25","17.25","17.04","52.71K","0.00%"
"27.08.2024","17.04","17.35","17.40","17.04","58.70K","-2.46%"
"26.08.2024","17.47","17.64","17.69","17.47","75.89K","-1.13%"
"23.08.2024","17.67","17.70","17.70","17.67","50.20K","0.80%"
"22.08.2024","17.53","17.53","17.53","17.53","50.12K","-2.07%"
"21.08.2024","17.90","17.90","17.90","17.90","50.03K","-0.28%"
"20.08.2024","17.95","17.95","17.95","17.95","50.18K","-0.39%"
"19.08.2024","18.02","18.06","18.06","18.00","51.69K","0.00%"
"16.08.2024","18.02","18.10","18.49","18.01","66.28K","-0.61%"
"15.08.2024","18.13","17.52","18.13","17.52","53.68K","2.20%"
"14.08.2024","17.74","17.51","17.74","17.51","49.32K","0.17%"
"13.08.2024","17.71","17.60","17.71","17.60","52.70K","1.72%"
"12.08.2024","17.41","17.39","17.41","17.39","50.39K","0.00%"
"09.08.2024","17.41","17.41","17.41","17.41","50.03K","0.69%"
"08.08.2024","17.29","17.01","17.29","17.01","40.81K","0.70%"
"07.08.2024","17.17","17.10","17.17","17.09","50.98K","1.00%"
"06.08.2024","17.00","16.79","17.00","16.79","58.21K","2.41%"
"05.08.2024","16.60","16.80","16.80","16.60","53.18K","-2.01%"
"02.08.2024","16.94","16.90","16.94","16.87","56.89K","-0.82%"
"01.08.2024","17.08","17.30","17.30","17.00","51.26K","0.06%"
"30.07.2024","17.07","17.16","17.16","17.07","50.69K","-0.52%"
"29.07.2024","17.16","17.40","17.40","17.16","50.83K","-1.38%"
"26.07.2024","17.40","17.40","17.40","17.40","","-0.29%"
"25.07.2024","17.45","17.52","17.52","17.45","52.46K","-1.08%"
