"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","4,437.13","4,450.00","4,450.00","4,436.97","0.29K","-0.23%"
"26.09.2024","4,447.14","4,442.38","4,447.14","4,442.38","0.10K","1.16%"
"25.09.2024","4,396.00","4,373.87","4,413.67","4,373.87","2.86K","1.86%"
"24.09.2024","4,315.63","4,314.61","4,315.63","4,314.61","0.12K","0.11%"
"23.09.2024","4,311.10","4,309.72","4,311.10","4,309.72","0.04K","-0.21%"
"20.09.2024","4,320.10","4,329.50","4,329.50","4,292.35","5.41K","2.40%"
"18.09.2024","4,218.90","4,218.90","4,218.90","4,218.90","0.19K","0.59%"
"17.09.2024","4,194.00","4,210.71","4,219.00","4,150.03","2.05K","-1.11%"
"13.09.2024","4,241.01","4,254.50","4,254.50","4,241.01","6.63K","-0.85%"
"12.09.2024","4,277.50","4,261.95","4,300.00","4,174.53","1.69K","-0.78%"
"11.09.2024","4,311.30","4,220.00","4,313.00","4,163.00","3.18K","3.21%"
"10.09.2024","4,177.40","4,168.72","4,177.40","4,167.00","1.59K","2.08%"
"09.09.2024","4,092.40","4,092.40","4,092.40","4,092.40","0.09K","0.77%"
"06.09.2024","4,061.00","4,113.74","4,113.74","4,061.00","0.62K","-2.40%"
"05.09.2024","4,161.00","4,182.34","4,182.34","4,161.00","1.63K","-0.71%"
"04.09.2024","4,190.62","4,137.00","4,190.62","4,137.00","6.72K","0.25%"
"03.09.2024","4,180.00","4,305.50","4,305.50","4,180.00","0.62K","-2.90%"
"30.08.2024","4,305.00","4,305.00","4,305.00","4,305.00","2.72K","0.00%"
"29.08.2024","4,305.00","4,378.70","4,378.70","4,305.00","0.27K","-0.07%"
"28.08.2024","4,307.90","4,301.00","4,308.30","4,301.00","0.39K","-1.71%"
"27.08.2024","4,382.90","4,274.00","4,386.50","4,274.00","0.75K","2.55%"
"26.08.2024","4,274.00","4,277.00","4,280.00","4,274.00","2.85K","0.54%"
"23.08.2024","4,251.00","4,285.00","4,285.00","4,247.00","0.14K","-1.41%"
"22.08.2024","4,312.00","4,315.21","4,350.00","4,312.00","0.23K","-0.87%"
