"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","3,967.00","3,967.00","3,967.00","3,967.00","0.04K","0.89%"
"26.09.2024","3,932.00","3,932.00","3,932.00","3,932.00","0.08K","0.45%"
"25.09.2024","3,914.57","3,930.00","3,930.00","3,914.57","0.08K","4.27%"
"18.09.2024","3,754.30","3,754.30","3,754.30","3,754.30","0.06K","1.49%"
"17.09.2024","3,699.00","3,717.50","3,717.50","3,699.00","0.70K","-0.27%"
"12.09.2024","3,709.00","3,709.00","3,709.00","3,709.00","0.14K","-1.01%"
"11.09.2024","3,747.00","3,675.00","3,747.00","3,664.00","0.21K","0.66%"
"10.09.2024","3,722.50","3,722.50","3,722.50","3,722.50","0.22K","1.68%"
"06.09.2024","3,661.00","3,661.00","3,661.00","3,661.00","0.10K","-1.63%"
"05.09.2024","3,721.72","3,721.72","3,721.72","3,721.72","31.61K","1.34%"
"04.09.2024","3,672.56","3,652.00","3,672.56","3,652.00","552.11K","0.23%"
"03.09.2024","3,664.00","3,665.00","3,665.00","3,664.00","0.18K","1.00%"
"02.09.2024","3,627.77","3,627.77","3,627.77","3,627.77","0.01K","-0.50%"
"30.08.2024","3,646.00","3,646.00","3,646.00","3,646.00","0.01K","-0.95%"
"29.08.2024","3,681.00","3,681.00","3,681.00","3,681.00","0.10K","2.25%"
"28.08.2024","3,600.00","3,596.20","3,600.00","3,596.20","0.07K","0.84%"
"26.08.2024","3,570.01","3,570.01","3,570.01","3,570.01","0.01K","0.00%"
"23.08.2024","3,570.00","3,574.00","3,574.00","3,570.00","0.04K","-0.61%"
"22.08.2024","3,592.00","3,592.00","3,592.00","3,592.00","0.38K","-0.99%"
"21.08.2024","3,628.00","3,609.00","3,628.00","3,608.00","0.03K","3.94%"
"20.08.2024","3,490.40","3,490.80","3,490.80","3,490.40","0.05K","0.96%"
"19.08.2024","3,457.38","3,455.00","3,457.38","3,455.00","23.42K","1.22%"
"16.08.2024","3,415.74","3,415.74","3,415.74","3,415.74","56.94K","0.38%"
"15.08.2024","3,402.69","3,393.43","3,402.69","3,393.43","126.71K","3.61%"
"09.08.2024","3,284.23","3,284.23","3,284.23","3,284.23","124.31K","-0.84%"
"08.08.2024","3,311.89","3,311.89","3,311.89","3,311.89","0.02K","0.90%"
"07.08.2024","3,282.50","3,287.00","3,287.00","3,282.50","0.06K","-3.17%"
"06.08.2024","3,390.00","3,353.00","3,403.00","3,353.00","1.33K","2.51%"
"05.08.2024","3,307.00","3,333.00","3,333.00","3,307.00","21.67K","-1.23%"
"02.08.2024","3,348.33","3,320.00","3,348.33","3,320.00","362.58K","-2.12%"
"01.08.2024","3,421.00","3,410.00","3,443.00","3,410.00","145.30K","-2.06%"
"31.07.2024","3,493.00","3,495.00","3,495.00","3,493.00","0.21K","0.80%"
"30.07.2024","3,465.20","3,465.20","3,465.20","3,465.20","","0.35%"
"29.07.2024","3,453.00","3,465.20","3,465.20","3,453.00","0.07K","2.43%"
"26.07.2024","3,371.00","3,371.00","3,371.00","3,371.00","","0.00%"
"25.07.2024","3,371.00","3,371.00","3,371.00","3,371.00","0.03K","0.48%"
"24.07.2024","3,355.00","3,352.00","3,355.00","3,352.00","0.04K","-2.50%"
"23.07.2024","3,441.00","3,446.00","3,446.00","3,432.20","2.35K","0.89%"
"22.07.2024","3,410.76","3,410.76","3,410.76","3,410.76","147.23K","-0.50%"
"18.07.2024","3,428.00","3,427.00","3,428.00","3,427.00","0.19K","1.72%"
"17.07.2024","3,370.00","3,400.00","3,400.00","3,370.00","0.02K","-1.32%"
"16.07.2024","3,415.00","3,415.00","3,415.00","3,415.00","0.01K","-1.16%"
"15.07.2024","3,455.00","3,455.00","3,455.00","3,455.00","4.87K","3.72%"
"12.07.2024","3,331.00","3,331.00","3,331.00","3,331.00","0.01K","-0.72%"
"11.07.2024","3,355.10","3,355.10","3,355.10","3,355.10","46.64K","-1.49%"
"10.07.2024","3,406.00","3,412.26","3,412.26","3,406.00","0.24K","-0.41%"
"08.07.2024","3,420.00","3,420.00","3,420.00","3,420.00","0.01K","1.35%"
"02.07.2024","3,374.28","3,385.58","3,385.58","3,374.28","0.47K","0.46%"
"01.07.2024","3,358.81","3,358.81","3,358.81","3,358.81","27.95K","-0.18%"
"28.06.2024","3,365.00","3,365.00","3,365.00","3,365.00","0.06K","-0.62%"
"27.06.2024","3,386.00","3,360.00","3,386.00","3,360.00","0.14K","0.83%"
"26.06.2024","3,358.25","3,346.15","3,365.68","3,346.15","0.25K","3.48%"
"21.06.2024","3,245.21","3,245.21","3,245.21","3,245.21","0.03K","-2.63%"
"20.06.2024","3,333.00","3,339.00","3,339.00","3,333.00","0.10K","0.15%"
"18.06.2024","3,328.10","3,320.00","3,328.10","3,320.00","0.52K","-1.38%"
"17.06.2024","3,374.50","3,374.50","3,374.50","3,374.50","0.09K","2.94%"
"14.06.2024","3,278.00","3,271.00","3,278.00","3,271.00","0.13K","-1.35%"
"13.06.2024","3,322.80","3,322.80","3,322.80","3,322.80","1.71K","-1.26%"
"12.06.2024","3,365.20","3,298.00","3,380.00","3,298.00","1.49K","2.91%"
"10.06.2024","3,270.00","3,266.00","3,270.00","3,266.00","2.16K","5.14%"
"05.06.2024","3,110.00","3,110.00","3,110.00","3,110.00","0.14K","-0.99%"
"04.06.2024","3,141.00","3,142.00","3,151.18","3,141.00","0.32K","1.39%"
"03.06.2024","3,098.00","3,098.00","3,098.00","3,098.00","0.01K","4.50%"
"31.05.2024","2,964.65","2,941.00","2,964.65","2,941.00","0.03K","-0.01%"
"30.05.2024","2,965.00","2,965.00","2,965.00","2,965.00","0.03K","0.29%"
"29.05.2024","2,956.50","2,956.50","2,956.50","2,956.50","0.05K","0.97%"
"28.05.2024","2,928.20","2,922.00","2,928.20","2,922.00","0.05K","-0.33%"
"21.05.2024","2,938.00","2,938.00","2,938.00","2,938.00","0.17K","0.06%"
"20.05.2024","2,936.10","2,936.10","2,936.10","2,936.10","0.17K","1.53%"
"16.05.2024","2,891.91","2,986.00","2,986.00","2,891.91","0.49K","-3.97%"
"14.05.2024","3,011.50","3,015.87","3,015.87","3,011.50","0.23K","0.35%"
"13.05.2024","3,001.00","3,001.00","3,001.00","3,001.00","0.04K","0.70%"
"10.05.2024","2,980.00","2,980.00","2,980.00","2,980.00","0.01K","-1.23%"
"09.05.2024","3,017.20","3,017.10","3,017.20","3,017.10","","0.44%"
"08.05.2024","3,004.00","3,008.00","3,008.00","3,004.00","2.00K","-0.45%"
"07.05.2024","3,017.50","3,017.50","3,017.50","3,017.50","3.04K","0.02%"
"06.05.2024","3,017.00","3,017.00","3,017.00","3,017.00","0.08K","0.90%"
"03.05.2024","2,990.00","2,990.00","2,990.00","2,990.00","0.05K","-1.50%"
"30.04.2024","3,035.40","3,035.40","3,035.40","3,035.40","0.03K","0.51%"
"26.04.2024","3,019.99","3,020.00","3,020.00","3,019.99","0.03K","1.78%"
"25.04.2024","2,967.20","2,967.20","2,967.20","2,967.20","0.15K","-0.06%"
"24.04.2024","2,969.00","2,978.00","2,978.00","2,969.00","6.01K","2.20%"
"23.04.2024","2,905.00","2,905.00","2,905.00","2,905.00","0.01K","-1.69%"
"22.04.2024","2,955.00","2,955.00","2,955.00","2,955.00","0.04K","0.00%"
"19.04.2024","2,955.00","2,955.00","2,955.00","2,955.00","0.01K","0.17%"
"16.04.2024","2,950.00","2,950.00","2,950.00","2,950.00","0.06K","1.13%"
"15.04.2024","2,917.10","2,917.10","2,917.10","2,917.10","2.10K","-1.79%"
"11.04.2024","2,970.39","2,961.50","2,970.39","2,961.50","1.75K","0.35%"
"05.04.2024","2,960.00","2,942.00","2,960.00","2,942.00","0.06K","-0.61%"
"03.04.2024","2,978.20","2,980.00","2,980.00","2,978.20","0.03K","-0.73%"
"02.04.2024","3,000.00","3,000.00","3,000.00","3,000.00","0.04K","-1.45%"
"27.03.2024","3,044.00","3,010.00","3,044.00","3,010.00","2.00K","-0.01%"
"26.03.2024","3,044.20","3,044.20","3,044.20","3,044.20","2.57K","-0.04%"
"25.03.2024","3,045.31","3,052.00","3,052.00","3,042.45","135.84K","-1.35%"
"21.03.2024","3,087.00","3,097.99","3,099.50","3,087.00","1.15K","1.56%"
"20.03.2024","3,039.70","3,039.70","3,039.70","3,039.70","0.01K","0.31%"
"19.03.2024","3,030.42","3,030.42","3,030.42","3,030.42","55.20K","2.04%"
"15.03.2024","2,969.74","2,969.74","2,969.74","2,969.74","52.21K","-1.05%"
"14.03.2024","3,001.25","3,001.25","3,001.25","3,001.25","0.10K","-1.27%"
"13.03.2024","3,040.00","3,040.00","3,040.00","3,040.00","0.01K","0.40%"
"12.03.2024","3,028.00","3,028.00","3,028.00","3,028.00","0.03K","0.30%"
"11.03.2024","3,019.00","3,018.80","3,026.00","3,018.70","2.24K","-1.67%"
"07.03.2024","3,070.38","3,048.66","3,070.38","3,048.66","41.98K","-2.16%"
"01.03.2024","3,138.30","3,138.30","3,138.30","3,138.30","0.12K","-0.01%"
"28.02.2024","3,138.60","3,121.40","3,138.60","3,121.40","0.10K","0.95%"
"27.02.2024","3,109.03","3,116.00","3,116.00","3,108.00","0.09K","-0.35%"
"26.02.2024","3,120.00","3,120.00","3,120.00","3,120.00","0.05K","0.72%"
"22.02.2024","3,097.56","3,102.00","3,102.00","3,097.56","38.85K","1.64%"
"21.02.2024","3,047.60","3,045.00","3,047.60","3,045.00","0.49K","-0.41%"
"16.02.2024","3,060.00","3,060.00","3,060.00","3,060.00","0.05K","0.40%"
"15.02.2024","3,047.70","3,046.80","3,047.70","3,045.10","0.11K","0.95%"
"14.02.2024","3,019.00","3,019.00","3,019.00","3,019.00","62.80K","0.05%"
"13.02.2024","3,017.53","3,036.20","3,036.20","3,017.53","98.99K","-0.27%"
"12.02.2024","3,025.81","3,025.81","3,025.81","3,025.81","1.00K","-1.23%"
"09.02.2024","3,063.60","3,061.80","3,063.60","3,061.80","59.63K","-0.11%"
"08.02.2024","3,066.88","3,053.05","3,066.88","3,053.05","21.26K","2.74%"
"06.02.2024","2,985.00","2,985.00","2,985.00","2,985.00","0.30K","-0.67%"
"02.02.2024","3,005.00","3,005.00","3,005.00","3,005.00","0.06K","1.21%"
"01.02.2024","2,969.00","2,969.00","2,969.00","2,969.00","0.02K","-0.37%"
"29.01.2024","2,980.00","2,980.00","2,980.00","2,980.00","0.01K","0.85%"
"26.01.2024","2,955.00","2,942.00","2,955.00","2,942.00","0.48K","-1.39%"
"24.01.2024","2,996.53","2,996.53","2,996.53","2,996.53","0.02K","-0.28%"
"23.01.2024","3,005.00","3,087.00","3,087.00","3,004.00","0.74K","0.50%"
"22.01.2024","2,990.00","2,991.25","2,991.25","2,982.03","33.57K","0.03%"
"19.01.2024","2,989.00","2,989.00","2,989.00","2,989.00","0.03K","0.50%"
"18.01.2024","2,974.00","2,974.00","2,974.00","2,974.00","0.02K","0.75%"
"17.01.2024","2,952.00","2,952.00","2,952.00","2,952.00","0.02K","-1.07%"
"16.01.2024","2,984.00","2,984.00","2,984.00","2,984.00","0.25K","-2.52%"
"10.01.2024","3,061.00","3,061.00","3,061.00","3,061.00","0.09K","3.31%"
"09.01.2024","2,963.00","2,965.00","2,965.00","2,961.50","19.24K","1.68%"
"05.01.2024","2,913.95","2,929.70","2,929.70","2,913.95","26.12K","-1.59%"
"04.01.2024","2,961.00","2,964.00","2,964.00","2,960.00","0.49K","-0.34%"
"03.01.2024","2,971.00","2,989.45","2,989.45","2,971.00","0.70K","-1.85%"
"29.12.2023","3,027.00","3,027.00","3,027.00","3,027.00","0.14K","-0.95%"
"22.12.2023","3,056.00","3,055.20","3,056.00","3,055.00","0.15K","-1.16%"
"20.12.2023","3,092.00","3,096.80","3,100.70","3,092.00","0.66K","-0.02%"
"19.12.2023","3,092.60","3,092.60","3,092.60","3,092.60","0.50K","0.17%"
"15.12.2023","3,087.28","3,087.28","3,087.28","3,087.28","9.25K","1.56%"
"14.12.2023","3,040.00","3,040.00","3,040.00","3,040.00","0.07K","1.20%"
"13.12.2023","3,004.00","3,012.00","3,012.00","3,004.00","0.05K","-0.55%"
"11.12.2023","3,020.70","2,993.00","3,020.70","2,993.00","1.94K","1.71%"
"07.12.2023","2,970.00","2,970.00","2,970.00","2,970.00","0.03K","-0.13%"
"06.12.2023","2,974.00","2,974.00","2,974.00","2,974.00","0.08K","-0.74%"
"05.12.2023","2,996.20","2,996.20","2,996.20","2,996.20","0.25K","0.48%"
"04.12.2023","2,982.00","2,982.00","2,982.00","2,982.00","0.02K","1.71%"
"01.12.2023","2,932.00","2,932.00","2,932.00","2,932.00","0.11K","0.10%"
"29.11.2023","2,929.00","2,929.00","2,929.00","2,929.00","0.05K","1.63%"
"28.11.2023","2,882.00","2,883.79","2,883.79","2,882.00","0.05K","-0.48%"
"22.11.2023","2,896.00","2,896.00","2,896.00","2,896.00","0.02K","1.61%"
"21.11.2023","2,850.00","2,850.00","2,850.00","2,850.00","0.16K","-0.42%"
"16.11.2023","2,862.00","2,858.00","2,862.50","2,858.00","5.13K","-1.58%"
"14.11.2023","2,908.00","2,908.00","2,908.00","2,908.00","0.18K","3.05%"
"10.11.2023","2,822.00","2,822.00","2,822.00","2,822.00","0.06K","-0.11%"
"09.11.2023","2,825.00","2,802.50","2,825.00","2,802.50","0.05K","-0.11%"
"08.11.2023","2,828.00","2,828.00","2,828.00","2,828.00","0.16K","-0.01%"
"07.11.2023","2,828.25","2,803.93","2,828.25","2,803.93","0.44K","1.37%"
"03.11.2023","2,790.00","2,784.00","2,790.00","2,784.00","0.46K","2.13%"
"01.11.2023","2,731.70","2,727.28","2,731.70","2,727.28","0.46K","-0.50%"
"31.10.2023","2,745.42","2,745.42","2,745.42","2,745.42","5.47K","0.77%"
"30.10.2023","2,724.40","2,724.40","2,724.40","2,724.40","9.20K","-0.11%"
"27.10.2023","2,727.53","2,727.53","2,727.53","2,727.53","10.26K","0.91%"
"26.10.2023","2,702.85","2,696.50","2,710.90","2,696.50","22.16K","-2.53%"
"20.10.2023","2,773.00","2,784.00","2,784.00","2,773.00","0.08K","-4.92%"
"18.10.2023","2,916.60","2,916.70","2,916.70","2,916.60","0.46K","0.71%"
