"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","781.19","779.00","782.98","779.00","0.12K","0.67%"
"26.09.2024","776.00","769.00","779.33","767.74","0.33K","0.91%"
"25.09.2024","769.00","764.30","771.50","758.01","1.35K","0.61%"
"24.09.2024","764.30","773.10","773.10","763.77","0.33K","-1.41%"
"23.09.2024","775.23","776.21","776.21","772.00","4.87K","-1.12%"
"20.09.2024","784.00","783.92","784.70","780.85","4.72K","-0.76%"
"19.09.2024","790.00","775.00","791.00","775.00","11.71K","2.70%"
"18.09.2024","769.24","756.00","769.24","754.01","0.71K","1.75%"
"17.09.2024","756.00","740.22","763.00","740.22","2.27K","1.48%"
"13.09.2024","744.99","772.22","772.22","741.02","0.62K","-1.72%"
"12.09.2024","758.00","775.14","775.14","754.81","1.96K","-1.23%"
"11.09.2024","767.45","760.00","771.11","760.00","2.51K","-2.85%"
"10.09.2024","790.00","787.00","790.50","769.20","2.57K","0.64%"
"09.09.2024","785.00","769.77","788.64","769.77","0.10K","1.47%"
"06.09.2024","773.64","806.92","806.92","772.12","36.92K","-3.68%"
"05.09.2024","803.20","812.00","812.00","798.73","0.98K","0.12%"
"04.09.2024","802.20","788.00","808.60","788.00","4.83K","-0.44%"
"03.09.2024","805.75","805.00","812.00","803.15","6.69K","0.22%"
"02.09.2024","804.00","805.00","805.00","804.00","0.06K","0.40%"
"30.08.2024","800.82","793.38","802.00","792.03","0.44K","0.94%"
"29.08.2024","793.39","790.00","798.89","790.00","3.08K","1.35%"
"28.08.2024","782.79","783.00","785.92","780.20","0.40K","0.44%"
"27.08.2024","779.35","775.38","786.77","775.38","0.56K","1.01%"
"26.08.2024","771.53","770.00","777.00","766.23","2.33K","1.58%"
"23.08.2024","759.50","763.00","765.40","756.25","7.57K","-0.65%"
"22.08.2024","764.49","753.73","764.49","753.60","2.70K","1.93%"
"21.08.2024","749.99","738.00","749.99","738.00","0.42K","1.98%"
"20.08.2024","735.44","732.00","740.47","720.91","0.17K","-1.01%"
"19.08.2024","742.98","739.21","744.47","739.21","7.82K","1.10%"
"16.08.2024","734.90","732.00","734.98","728.02","0.44K","0.23%"
"15.08.2024","733.24","735.01","736.00","729.00","2.22K","0.39%"
"14.08.2024","730.36","745.00","745.00","730.00","0.21K","-0.39%"
"13.08.2024","733.24","731.49","733.24","728.60","0.32K","0.79%"
"12.08.2024","727.50","726.59","728.00","724.88","0.43K","1.04%"
"09.08.2024","720.00","724.86","724.86","716.29","4.92K","-0.91%"
"08.08.2024","726.60","725.01","733.51","725.01","0.65K","0.38%"
"07.08.2024","723.83","736.03","736.05","723.83","4.83K","-0.26%"
"06.08.2024","725.70","716.27","725.89","716.27","1.91K","1.57%"
"05.08.2024","714.48","698.93","716.27","690.28","8.41K","-0.25%"
"02.08.2024","716.27","719.00","723.15","707.06","2.82K","-2.71%"
"01.08.2024","736.19","739.79","743.39","730.81","0.60K","-2.36%"
"31.07.2024","754.00","768.19","768.19","754.00","0.23K","-2.07%"
"30.07.2024","769.90","771.44","781.99","765.55","0.39K","0.31%"
"29.07.2024","767.50","771.44","771.44","764.07","1.49K","-0.54%"
"26.07.2024","771.65","770.00","773.29","762.09","0.39K","0.21%"
"25.07.2024","770.06","774.50","778.00","770.05","0.39K","-0.18%"
"24.07.2024","771.46","769.73","782.75","769.73","5.12K","0.19%"
"23.07.2024","770.01","769.99","774.99","769.99","0.18K","1.51%"
"22.07.2024","758.58","760.75","766.31","753.30","153.35K","-2.71%"
"19.07.2024","779.69","779.21","780.69","773.31","1.74K","0.44%"
"18.07.2024","776.31","775.15","781.67","770.45","0.71K","-0.15%"
"17.07.2024","777.51","789.13","789.13","776.50","3.34K","-0.32%"
"16.07.2024","780.00","748.99","782.00","748.90","44.22K","4.68%"
"15.07.2024","745.15","740.00","751.51","740.00","2.76K","1.29%"
"12.07.2024","735.67","737.47","739.99","734.00","28.02K","-1.02%"
"11.07.2024","743.26","740.00","745.99","740.00","0.98K","0.30%"
"10.07.2024","741.00","742.00","742.00","735.00","1.25K","0.00%"
"09.07.2024","741.00","748.26","749.99","741.00","0.51K","2.19%"
"08.07.2024","725.15","731.00","733.91","725.15","0.12K","-0.80%"
"05.07.2024","731.00","735.00","735.13","730.41","1.66K","-1.22%"
"03.07.2024","740.02","745.00","745.00","740.02","0.25K","-0.36%"
"02.07.2024","742.73","732.17","746.37","732.17","2.83K","1.73%"
"01.07.2024","730.07","734.13","736.75","730.07","3.27K","0.01%"
"28.06.2024","730.03","724.00","730.03","724.00","1.55K","1.25%"
"27.06.2024","721.00","710.37","721.00","708.65","0.45K","1.12%"
"26.06.2024","712.99","715.00","715.00","703.00","0.79K","-0.28%"
"25.06.2024","715.00","720.00","720.00","715.00","4.71K","-0.72%"
"24.06.2024","720.18","719.11","725.00","713.81","5.55K","0.38%"
"21.06.2024","717.43","723.00","723.00","716.34","2.69K","-2.27%"
"20.06.2024","734.13","733.00","738.08","732.03","6.88K","0.15%"
"19.06.2024","733.00","735.97","735.97","733.00","0.06K","-0.40%"
"18.06.2024","735.97","723.37","735.97","723.37","0.70K","0.41%"
"17.06.2024","733.00","727.65","733.00","726.00","2.50K","1.25%"
"14.06.2024","723.98","723.00","724.00","719.70","58.69K","0.22%"
"13.06.2024","722.40","730.00","730.00","720.40","3.77K","-2.66%"
"12.06.2024","742.16","745.00","750.81","736.99","3.81K","3.93%"
"11.06.2024","714.12","719.00","719.00","711.67","3.10K","-1.51%"
"10.06.2024","725.10","728.00","733.91","725.00","0.97K","-1.72%"
"07.06.2024","737.79","715.00","737.79","715.00","2.11K","4.08%"
"06.06.2024","708.85","698.87","713.99","694.00","4.69K","1.19%"
"05.06.2024","700.51","695.00","700.51","695.00","1.14K","-0.84%"
"04.06.2024","706.43","709.00","710.00","703.06","1.32K","0.12%"
"03.06.2024","705.60","674.00","705.60","674.00","3.09K","4.72%"
"31.05.2024","673.81","665.00","679.00","665.00","7.43K","3.26%"
"30.05.2024","652.55","658.85","658.85","646.00","4.91K","-0.07%"
"29.05.2024","653.00","655.00","656.30","653.00","3.34K","-1.50%"
"28.05.2024","662.97","661.00","662.97","658.27","38.96K","0.30%"
"24.05.2024","661.00","661.99","664.99","659.00","0.48K","1.23%"
"23.05.2024","653.00","660.00","661.00","653.00","9.17K","-0.91%"
"22.05.2024","659.00","660.00","660.00","657.29","0.29K","-0.15%"
"21.05.2024","660.00","645.27","660.00","645.27","0.68K","2.64%"
"20.05.2024","643.00","655.30","655.30","643.00","3.81K","-1.08%"
"17.05.2024","650.00","654.68","654.68","650.00","0.09K","-0.75%"
"16.05.2024","654.90","651.00","656.75","651.00","7.27K","1.02%"
"15.05.2024","648.30","649.00","655.00","648.30","0.08K","-0.11%"
"14.05.2024","649.00","646.00","653.10","646.00","5.14K","0.78%"
"13.05.2024","644.00","645.90","646.00","643.27","0.51K","0.23%"
"10.05.2024","642.51","645.27","648.33","642.50","0.36K","0.46%"
"09.05.2024","639.56","643.00","643.00","639.56","0.98K","0.56%"
"08.05.2024","636.00","639.53","639.53","636.00","0.05K","-0.75%"
