"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","571.47","573.39","574.22","570.42","42.10M","-0.15%"
"26.09.2024","572.30","574.38","574.71","569.90","48.34M","0.40%"
"25.09.2024","570.04","571.14","571.89","568.91","38.43M","-0.22%"
"24.09.2024","571.30","570.48","571.36","567.60","46.81M","0.29%"
"23.09.2024","569.67","569.34","570.33","568.10","44.12M","0.25%"
"20.09.2024","568.25","567.84","569.31","565.17","77.50M","-0.48%"
"19.09.2024","570.98","571.01","572.88","568.08","75.32M","1.71%"
"18.09.2024","561.40","563.74","568.69","560.83","59.04M","-0.30%"
"17.09.2024","563.07","565.10","566.58","560.79","49.32M","0.04%"
"16.09.2024","562.84","561.74","563.11","559.90","36.66M","0.15%"
"13.09.2024","562.01","559.71","563.03","559.45","39.31M","0.52%"
"12.09.2024","559.09","555.01","559.40","552.74","51.89M","0.84%"
"11.09.2024","554.42","548.70","555.36","539.96","75.25M","1.03%"
"10.09.2024","548.79","548.36","549.15","543.38","36.39M","0.44%"
"09.09.2024","546.41","544.65","547.71","542.68","40.45M","1.12%"
"06.09.2024","540.36","549.94","551.60","539.44","68.49M","-1.68%"
"05.09.2024","549.61","550.89","553.80","547.10","44.26M","-0.24%"
"04.09.2024","550.95","550.20","554.43","549.46","47.22M","-0.20%"
"03.09.2024","552.08","560.47","560.81","549.51","60.60M","-2.06%"
"30.08.2024","563.68","560.77","564.20","557.14","62.70M","0.95%"
"29.08.2024","558.35","560.31","563.68","557.18","38.72M","0.01%"
"28.08.2024","558.30","561.21","561.65","555.04","41.07M","-0.58%"
"27.08.2024","561.56","559.49","562.06","558.32","32.69M","0.14%"
"26.08.2024","560.79","563.18","563.91","559.05","35.79M","-0.24%"
"23.08.2024","562.13","559.53","563.09","557.29","50.64M","1.06%"
"22.08.2024","556.22","562.56","563.18","554.98","56.12M","-0.78%"
"21.08.2024","560.62","559.77","562.11","554.73","41.51M","0.34%"
"20.08.2024","558.70","559.15","560.84","557.33","33.73M","-0.16%"
"19.08.2024","559.61","554.73","559.61","553.86","39.12M","0.96%"
"16.08.2024","554.31","551.42","555.02","551.26","44.43M","0.22%"
"15.08.2024","553.07","549.50","553.36","548.88","60.85M","1.71%"
"14.08.2024","543.75","542.85","544.96","540.12","42.45M","0.32%"
"13.08.2024","542.04","536.53","542.28","536.28","52.33M","1.64%"
"12.08.2024","533.27","534.21","535.73","530.95","42.54M","0.05%"
"09.08.2024","532.99","529.81","534.51","528.56","45.62M","0.44%"
"08.08.2024","530.65","523.91","531.29","521.84","63.28M","2.31%"
"07.08.2024","518.66","528.47","531.59","518.05","70.70M","-0.67%"
"06.08.2024","522.15","519.22","529.75","517.87","84.83M","0.92%"
"05.08.2024","517.38","511.64","523.58","510.27","146.27M","-2.91%"
"02.08.2024","532.90","535.75","536.99","528.60","82.79M","-1.86%"
"01.08.2024","543.01","552.57","554.87","539.43","76.43M","-1.42%"
"31.07.2024","550.81","548.98","553.50","547.58","65.66M","1.63%"
"30.07.2024","542.00","546.26","547.34","538.52","46.85M","-0.51%"
"29.07.2024","544.76","546.02","547.05","542.72","39.52M","0.06%"
"26.07.2024","544.44","542.28","547.19","541.49","53.76M","1.12%"
"25.07.2024","538.41","541.35","547.46","537.45","61.16M","-0.52%"
"24.07.2024","541.23","548.86","549.17","540.29","74.52M","-2.27%"
"23.07.2024","553.78","554.54","556.73","553.28","34.44M","-0.16%"
"22.07.2024","554.65","553.00","555.27","551.02","43.35M","1.03%"
"19.07.2024","548.99","552.42","554.08","547.91","65.51M","-0.66%"
"18.07.2024","552.66","558.51","559.52","550.43","56.27M","-0.77%"
"17.07.2024","556.94","558.80","560.51","556.61","57.12M","-1.40%"
"16.07.2024","564.86","562.86","565.16","562.10","36.48M","0.59%"
"15.07.2024","561.53","562.03","564.84","559.63","40.58M","0.28%"
"12.07.2024","559.99","557.63","563.67","557.15","53.08M","0.63%"
"11.07.2024","556.48","561.44","562.33","555.83","53.05M","-0.86%"
"10.07.2024","561.32","557.07","561.67","556.77","38.70M","0.99%"
"09.07.2024","555.82","556.26","557.18","555.52","27.31M","0.10%"
"08.07.2024","555.28","555.44","556.25","554.19","36.11M","0.12%"
"05.07.2024","554.64","551.77","555.05","551.12","41.49M","0.58%"
"03.07.2024","551.46","548.69","551.83","548.65","32.79M","0.45%"
"02.07.2024","549.01","543.70","549.01","543.65","40.43M","0.67%"
"01.07.2024","545.34","545.63","545.88","542.52","40.30M","0.21%"
"28.06.2024","544.22","547.16","550.28","542.95","76.14M","-0.39%"
"27.06.2024","546.37","545.37","546.96","544.61","35.04M","0.16%"
"26.06.2024","545.51","543.69","546.24","543.03","38.55M","0.12%"
"25.06.2024","544.83","543.99","545.20","542.44","38.27M","0.39%"
"24.06.2024","542.74","544.33","546.95","542.62","45.53M","-0.33%"
"21.06.2024","544.51","544.40","545.65","543.02","64.51M","-0.46%"
"20.06.2024","547.00","549.44","550.12","545.18","70.33M","-0.27%"
"18.06.2024","548.49","547.16","548.62","546.73","41.38M","0.25%"
"17.06.2024","547.10","542.08","548.53","541.61","55.84M","0.80%"
"14.06.2024","542.78","540.88","542.81","539.85","40.09M","0.06%"
"13.06.2024","542.45","543.15","543.33","539.59","44.76M","0.20%"
"12.06.2024","541.36","541.63","544.12","540.30","63.25M","0.82%"
