"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","4.060","4.160","4.250","4.040","106.73K","-1.93%"
"26.09.2024","4.140","4.020","4.150","3.990","81.35K","3.50%"
"25.09.2024","4.000","3.980","4.030","3.952","65.35K","0.25%"
"24.09.2024","3.990","3.960","4.070","3.915","57.62K","1.01%"
"23.09.2024","3.950","3.970","3.990","3.820","118.03K","-0.25%"
"20.09.2024","3.960","3.990","4.070","3.930","86.57K","-1.74%"
"19.09.2024","4.030","4.140","4.210","3.970","79.82K","0.50%"
"18.09.2024","4.010","4.195","4.280","4.005","159.99K","-3.37%"
"17.09.2024","4.150","4.090","4.292","4.090","105.62K","2.72%"
"16.09.2024","4.040","3.900","4.131","3.900","147.99K","4.66%"
"13.09.2024","3.860","3.730","3.890","3.640","265.99K","3.76%"
"12.09.2024","3.720","3.610","3.810","3.610","145.52K","3.33%"
"11.09.2024","3.600","3.750","3.750","3.595","140.90K","-4.76%"
"10.09.2024","3.780","3.770","3.790","3.650","169.80K","-0.79%"
"09.09.2024","3.810","3.810","3.870","3.760","147.14K","0.53%"
"06.09.2024","3.790","3.710","3.860","3.580","253.92K","1.61%"
"05.09.2024","3.730","3.810","3.880","3.700","147.94K","-2.10%"
"04.09.2024","3.810","3.770","3.890","3.710","136.44K","1.33%"
"03.09.2024","3.760","3.990","4.020","3.760","247.14K","-7.16%"
"30.08.2024","4.050","4.080","4.190","3.970","167.01K","0.25%"
"29.08.2024","4.040","4.110","4.210","4.020","163.02K","-0.25%"
"28.08.2024","4.050","4.010","4.240","3.930","167.98K","-0.25%"
"27.08.2024","4.060","4.170","4.230","4.060","122.45K","-3.10%"
"26.08.2024","4.190","4.380","4.450","4.170","123.50K","-4.77%"
"23.08.2024","4.400","4.110","4.450","4.110","279.00K","8.91%"
"22.08.2024","4.040","4.230","4.320","4.040","126.43K","-4.72%"
"21.08.2024","4.240","4.160","4.260","4.100","87.83K","2.66%"
"20.08.2024","4.130","4.190","4.220","4.010","149.11K","-0.96%"
"19.08.2024","4.170","4.100","4.170","4.055","108.82K","1.71%"
"16.08.2024","4.100","3.960","4.100","3.955","130.46K","2.50%"
"15.08.2024","4.000","4.140","4.170","3.930","177.21K","-0.99%"
"14.08.2024","4.040","4.060","4.190","3.810","433.57K","-0.98%"
"13.08.2024","4.080","4.330","4.330","4.040","232.04K","-5.34%"
"12.08.2024","4.310","4.380","4.410","4.235","138.46K","-3.15%"
"09.08.2024","4.450","4.410","4.550","4.300","313.16K","9.34%"
"08.08.2024","4.070","3.920","4.270","3.870","488.65K","6.27%"
"07.08.2024","3.830","5.090","5.090","3.750","876.71K","-17.99%"
"06.08.2024","4.670","4.620","4.830","4.510","239.88K","1.74%"
"05.08.2024","4.590","4.290","4.655","4.290","189.11K","-1.92%"
"02.08.2024","4.680","4.750","4.850","4.655","211.23K","-6.21%"
"01.08.2024","4.990","5.300","5.330","4.940","166.52K","-6.03%"
"31.07.2024","5.310","5.440","5.550","5.286","122.34K","-1.85%"
"30.07.2024","5.410","5.390","5.480","5.280","125.86K","1.50%"
"29.07.2024","5.330","5.340","5.520","5.230","210.83K","-0.56%"
"26.07.2024","5.360","5.220","5.380","5.050","275.76K","4.28%"
"25.07.2024","5.140","5.110","5.330","5.110","97.86K","0.59%"
"24.07.2024","5.110","5.270","5.590","5.000","276.23K","-5.02%"
"23.07.2024","5.380","4.730","5.380","4.670","409.53K","13.98%"
"22.07.2024","4.720","4.570","4.740","4.530","174.28K","3.28%"
"19.07.2024","4.570","4.560","4.590","4.400","163.13K","1.56%"
"18.07.2024","4.500","4.650","4.700","4.410","206.43K","-3.02%"
"17.07.2024","4.640","4.630","4.800","4.535","145.75K","-1.49%"
"16.07.2024","4.710","4.490","4.720","4.480","150.05K","5.13%"
"15.07.2024","4.480","4.780","4.780","4.480","168.05K","-5.08%"
"12.07.2024","4.720","4.780","4.900","4.650","169.39K","-0.63%"
"11.07.2024","4.750","4.400","4.760","4.360","212.42K","9.95%"
"10.07.2024","4.320","4.370","4.390","4.230","207.89K","-0.46%"
"09.07.2024","4.340","4.280","4.350","4.190","306.89K","0.46%"
"08.07.2024","4.320","4.450","4.510","4.300","252.64K","-1.82%"
"05.07.2024","4.400","4.550","4.550","4.345","243.78K","-3.30%"
"03.07.2024","4.550","4.460","4.610","4.460","111.27K","2.02%"
"02.07.2024","4.460","4.590","4.640","4.420","293.26K","-3.04%"
"01.07.2024","4.600","4.530","4.868","4.530","514.49K","1.55%"
"28.06.2024","4.530","4.730","4.730","4.430","4.34M","-1.95%"
"27.06.2024","4.620","4.740","4.740","4.500","280.72K","-0.65%"
"26.06.2024","4.650","4.510","4.820","4.500","239.07K","2.20%"
"25.06.2024","4.550","4.560","4.595","4.482","210.62K","-0.66%"
"24.06.2024","4.580","4.560","4.740","4.525","179.51K","0.66%"
"21.06.2024","4.550","4.500","4.690","4.500","285.23K","0.89%"
"20.06.2024","4.510","4.670","4.720","4.500","195.08K","-4.04%"
"18.06.2024","4.700","4.690","4.780","4.630","187.05K","-0.21%"
"17.06.2024","4.710","4.720","4.740","4.560","220.94K","-0.84%"
"14.06.2024","4.750","4.790","4.850","4.610","252.98K","-2.26%"
"13.06.2024","4.860","4.990","5.060","4.810","238.60K","-2.80%"
"12.06.2024","5.000","5.220","5.280","4.990","236.72K","-0.99%"
"11.06.2024","5.050","5.070","5.102","4.930","209.55K","-1.75%"
"10.06.2024","5.140","5.120","5.210","5.030","173.94K","-0.96%"
"07.06.2024","5.190","5.120","5.350","5.120","188.02K","-0.57%"
"06.06.2024","5.220","5.150","5.290","5.030","327.19K","-0.57%"
"05.06.2024","5.250","5.580","5.580","5.180","186.90K","-1.87%"
"04.06.2024","5.350","5.600","5.600","5.280","202.74K","-5.31%"
"03.06.2024","5.650","6.020","6.070","5.640","284.10K","-4.56%"
"31.05.2024","5.920","6.130","6.210","5.780","283.85K","-2.95%"
"30.05.2024","6.100","5.790","6.405","5.790","267.48K","4.10%"
"29.05.2024","5.860","5.720","5.920","5.540","289.75K","0.34%"
"28.05.2024","5.840","5.610","5.920","5.500","349.65K","5.04%"
"24.05.2024","5.560","5.430","5.590","5.360","127.68K","3.15%"
"23.05.2024","5.390","5.500","5.500","5.280","190.03K","-1.46%"
"22.05.2024","5.470","5.380","5.500","5.333","171.52K","2.05%"
