"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.09.2024","9,735.81","9,716.20","9,735.81","9,707.00","0.48K","1.87%"
"25.09.2024","9,557.00","9,479.00","9,557.00","9,479.00","0.33K","1.84%"
"24.09.2024","9,384.44","9,392.00","9,402.75","9,384.44","0.09K","-2.68%"
"23.09.2024","9,642.90","9,632.00","9,642.90","9,632.00","0.32K","0.67%"
"20.09.2024","9,579.10","9,480.70","9,579.10","9,480.70","0.45K","0.41%"
"19.09.2024","9,540.00","9,575.00","9,575.00","9,540.00","1.62K","-0.19%"
"18.09.2024","9,557.90","9,588.50","9,590.00","9,557.90","0.09K","0.08%"
"17.09.2024","9,550.00","9,611.50","9,611.50","9,550.00","0.24K","0.45%"
"13.09.2024","9,507.00","9,508.00","9,508.00","9,507.00","0.02K","-1.12%"
"12.09.2024","9,615.00","9,440.00","9,615.00","9,440.00","0.28K","0.92%"
"11.09.2024","9,527.00","9,665.00","9,665.00","9,527.00","0.02K","-2.64%"
"10.09.2024","9,785.00","9,772.00","9,785.00","9,764.90","3.69K","1.11%"
"09.09.2024","9,678.00","9,678.00","9,678.00","9,678.00","0.04K","1.39%"
"06.09.2024","9,545.00","9,557.68","9,570.00","9,530.00","0.22K","1.02%"
"05.09.2024","9,449.00","9,449.00","9,449.00","9,449.00","0.33K","-1.53%"
"04.09.2024","9,596.26","9,610.00","9,610.00","9,595.00","1.30K","0.32%"
"03.09.2024","9,565.30","9,615.00","9,620.00","9,565.30","0.54K","-1.29%"
"30.08.2024","9,690.09","9,480.00","9,690.09","9,480.00","0.07K","1.70%"
"29.08.2024","9,527.94","9,500.00","9,527.94","9,468.00","0.93K","3.16%"
"28.08.2024","9,236.52","9,250.00","9,250.00","9,226.00","0.52K","-0.65%"
"27.08.2024","9,297.00","9,289.98","9,300.00","9,289.98","0.12K","2.45%"
"26.08.2024","9,075.00","8,905.00","9,114.00","8,905.00","0.72K","2.01%"
"23.08.2024","8,896.45","8,839.00","8,896.45","8,839.00","0.28K","-2.44%"
"22.08.2024","9,118.76","9,125.00","9,130.00","9,100.00","1.04K","0.84%"
"21.08.2024","9,043.00","9,043.00","9,043.00","9,043.00","0.06K","1.61%"
"20.08.2024","8,900.00","8,865.00","8,900.00","8,865.00","0.03K","2.17%"
"19.08.2024","8,711.00","8,772.40","8,772.40","8,695.90","0.15K","-0.50%"
"16.08.2024","8,755.00","8,700.00","8,755.00","8,527.84","0.20K","0.36%"
"15.08.2024","8,723.49","8,702.00","8,723.49","8,690.00","0.06K","0.61%"
"14.08.2024","8,671.00","8,701.87","8,701.87","8,653.00","0.30K","-0.24%"
"13.08.2024","8,692.00","8,703.00","8,703.00","8,682.00","1.80K","-0.08%"
"12.08.2024","8,699.00","8,699.00","8,700.00","8,699.00","0.11K","0.80%"
"09.08.2024","8,630.00","8,585.00","8,630.00","8,564.40","0.30K","-0.23%"
"08.08.2024","8,650.00","8,883.19","8,883.19","8,466.83","0.20K","-0.43%"
"07.08.2024","8,687.00","8,748.13","8,748.13","8,670.00","1.55K","-1.61%"
"06.08.2024","8,829.01","8,550.01","8,829.01","8,550.01","6.36K","2.76%"
"05.08.2024","8,592.27","8,765.00","8,765.00","8,590.00","1.04K","-4.57%"
"02.08.2024","9,004.00","8,655.20","9,004.00","8,650.00","0.49K","3.97%"
"01.08.2024","8,660.00","8,775.69","8,775.69","8,660.00","0.08K","0.23%"
"31.07.2024","8,640.00","8,795.00","8,795.00","8,571.31","0.04K","2.86%"
"30.07.2024","8,399.96","8,320.60","8,399.96","8,320.60","0.89K","1.81%"
"29.07.2024","8,250.90","8,170.00","8,278.00","8,087.51","0.44K","2.05%"
"26.07.2024","8,085.00","8,035.00","8,085.00","8,035.00","0.28K","1.23%"
"25.07.2024","7,987.00","7,988.00","7,988.00","7,986.77","0.04K","0.30%"
"24.07.2024","7,963.29","7,900.00","7,970.00","7,900.00","0.19K","-0.61%"
"23.07.2024","8,012.00","8,012.00","8,012.00","8,012.00","0.70K","-0.16%"
"22.07.2024","8,025.00","7,999.99","8,025.00","7,999.99","0.17K","-0.23%"
"19.07.2024","8,043.11","8,029.00","8,100.00","8,022.00","0.46K","0.21%"
"18.07.2024","8,026.00","8,106.10","8,125.10","8,026.00","0.47K","0.83%"
"17.07.2024","7,960.00","7,893.00","7,968.00","7,893.00","2.69K","2.20%"
"16.07.2024","7,789.00","7,770.01","7,790.26","7,770.01","0.36K","-1.24%"
"15.07.2024","7,887.12","7,887.90","7,887.90","7,850.12","11.56K","1.36%"
"12.07.2024","7,781.04","7,780.00","7,783.90","7,779.00","0.72K","0.16%"
"11.07.2024","7,768.45","7,716.10","7,768.45","7,716.10","0.16K","0.71%"
"10.07.2024","7,713.91","7,687.00","7,721.19","7,650.00","0.62K","-3.53%"
"09.07.2024","7,996.38","7,970.00","7,996.38","7,970.00","0.04K","-0.54%"
"08.07.2024","8,039.76","8,035.00","8,039.76","7,821.52","0.36K","-1.17%"
"05.07.2024","8,135.06","8,091.30","8,135.06","8,091.30","8.80K","-0.80%"
"03.07.2024","8,200.28","8,125.85","8,200.28","8,118.00","0.15K","0.00%"
"02.07.2024","8,200.28","8,006.00","8,200.28","8,006.00","0.74K","2.04%"
"01.07.2024","8,036.27","8,000.00","8,047.70","8,000.00","0.90K","-0.11%"
"28.06.2024","8,045.51","8,100.01","8,144.00","8,045.08","0.22K","-1.40%"
"27.06.2024","8,160.00","8,165.00","8,165.00","8,160.00","0.04K","-1.82%"
"26.06.2024","8,311.20","8,285.41","8,320.77","8,279.00","0.24K","0.67%"
"25.06.2024","8,255.98","8,224.23","8,271.02","8,224.23","0.09K","0.39%"
"24.06.2024","8,224.23","8,260.00","8,268.00","8,212.75","0.33K","-0.17%"
"21.06.2024","8,238.35","8,234.74","8,240.00","8,224.49","2.03K","-0.88%"
"20.06.2024","8,311.11","8,274.11","8,311.11","8,274.11","0.42K","0.45%"
"18.06.2024","8,274.11","8,270.00","8,288.00","8,270.00","0.79K","-0.68%"
"17.06.2024","8,331.00","8,233.03","8,331.00","8,233.03","0.19K","1.68%"
"14.06.2024","8,193.00","8,193.00","8,193.00","8,193.00","0.95K","-0.21%"
"13.06.2024","8,210.00","8,207.00","8,247.00","8,170.00","1.11K","-1.79%"
"12.06.2024","8,359.45","8,450.00","8,518.00","8,285.00","0.48K","1.28%"
"11.06.2024","8,254.00","8,184.00","8,254.00","8,184.00","0.10K","0.64%"
"10.06.2024","8,201.70","8,200.00","8,250.00","8,199.61","1.15K","-1.25%"
"07.06.2024","8,305.65","8,124.01","8,305.65","8,075.01","0.24K","2.98%"
"06.06.2024","8,065.00","7,872.00","8,065.00","7,863.00","0.27K","2.74%"
"05.06.2024","7,849.82","7,772.05","7,849.82","7,772.05","0.20K","-0.89%"
"04.06.2024","7,920.00","7,870.00","7,920.00","7,870.00","0.10K","1.17%"
"03.06.2024","7,828.18","7,772.86","7,828.18","7,539.21","0.58K","3.98%"
"31.05.2024","7,528.90","7,632.69","7,632.69","7,528.90","0.15K","0.24%"
"30.05.2024","7,511.02","7,518.22","7,518.22","7,511.02","0.45K","-0.06%"
"29.05.2024","7,515.20","7,500.06","7,523.00","7,500.06","0.90K","0.62%"
"28.05.2024","7,468.99","7,515.00","7,515.00","7,429.00","0.43K","-1.01%"
"24.05.2024","7,545.00","7,515.84","7,545.00","7,515.84","0.09K","-1.21%"
"22.05.2024","7,637.10","7,589.25","7,637.10","7,589.25","0.02K","0.29%"
"21.05.2024","7,614.86","7,600.00","7,614.86","7,591.30","0.55K","-0.07%"
"20.05.2024","7,620.00","7,628.00","7,628.00","7,610.00","0.09K","-0.35%"
"17.05.2024","7,647.00","7,660.00","7,660.00","7,647.00","0.04K","-0.50%"
"16.05.2024","7,685.25","7,719.77","7,719.77","7,679.00","2.40K","0.88%"
"15.05.2024","7,618.00","7,632.36","7,632.36","7,618.00","0.18K","0.32%"
"14.05.2024","7,594.00","7,647.53","7,649.00","7,594.00","1.07K","-1.44%"
"13.05.2024","7,705.00","7,610.00","7,705.00","7,610.00","1.04K","0.61%"
"10.05.2024","7,658.00","7,656.85","7,663.00","7,647.11","0.16K","0.10%"
"09.05.2024","7,650.00","7,651.12","7,651.12","7,650.00","2.23K","-0.25%"
"08.05.2024","7,669.00","7,653.00","7,669.00","7,653.00","0.41K","0.25%"
"07.05.2024","7,650.00","7,611.00","7,650.00","7,611.00","0.12K","1.29%"
"06.05.2024","7,552.24","7,554.50","7,554.50","7,552.24","0.85K","0.30%"
"03.05.2024","7,530.00","7,528.03","7,537.00","7,528.03","0.13K","0.46%"
"02.05.2024","7,495.79","7,458.91","7,495.79","7,458.50","0.38K","-3.31%"
"30.04.2024","7,752.00","7,777.00","7,777.00","7,751.00","0.13K","-0.18%"
"29.04.2024","7,766.00","7,766.00","7,766.00","7,766.00","0.68K","-2.02%"
"26.04.2024","7,926.29","7,922.00","7,926.29","7,922.00","1.76K","0.31%"
"24.04.2024","7,902.00","7,916.00","7,916.00","7,902.00","0.18K","0.46%"
"23.04.2024","7,866.00","7,865.00","7,866.00","7,865.00","0.48K","0.52%"
"22.04.2024","7,825.00","7,800.30","7,825.00","7,800.00","1.43K","0.05%"
"19.04.2024","7,820.87","7,820.87","7,820.87","7,820.87","0.05K","0.46%"
"18.04.2024","7,785.00","7,865.00","7,865.00","7,782.00","0.55K","-0.13%"
"17.04.2024","7,795.51","7,819.47","7,975.59","7,795.51","0.46K","-2.87%"
"16.04.2024","8,025.74","7,862.05","8,056.49","7,862.05","0.08K","3.77%"
"12.04.2024","7,734.01","7,734.01","7,734.01","7,734.01","0.40K","0.34%"
"11.04.2024","7,708.13","7,503.01","7,710.00","7,503.01","2.55K","-0.21%"
"10.04.2024","7,724.23","7,724.23","7,724.23","7,724.23","3.02K","-0.10%"
"09.04.2024","7,732.00","7,773.00","7,817.03","7,699.00","0.52K","-1.09%"
"08.04.2024","7,817.03","7,780.00","7,817.03","7,780.00","0.13K","-0.47%"
"05.04.2024","7,853.85","7,720.54","7,875.00","7,720.54","5.42K","-1.21%"
