"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.09.2024","158.479","156.710","161.705","155.150","3.29M","1.13%"
"28.09.2024","156.710","157.647","159.396","155.152","2.36M","-0.59%"
"27.09.2024","157.647","155.549","160.986","154.017","4.99M","1.35%"
"26.09.2024","155.548","147.999","157.981","146.590","5.59M","5.10%"
"25.09.2024","147.999","152.666","153.758","147.366","3.81M","-3.07%"
"24.09.2024","152.684","144.714","153.921","143.291","5.54M","5.51%"
"23.09.2024","144.713","144.687","148.985","142.203","4.47M","-0.01%"
"22.09.2024","144.732","149.419","149.870","141.285","3.05M","-3.13%"
"21.09.2024","149.414","146.699","149.797","144.669","2.70M","1.85%"
"20.09.2024","146.699","142.872","152.125","141.234","5.96M","2.68%"
"19.09.2024","142.874","134.327","143.908","134.327","6.04M","6.36%"
"18.09.2024","134.327","131.540","134.327","127.196","4.70M","2.12%"
"17.09.2024","131.540","131.405","135.500","130.359","3.43M","0.10%"
"16.09.2024","131.405","131.419","132.310","129.068","3.14M","-0.02%"
"15.09.2024","131.425","137.157","137.916","130.801","2.76M","-4.18%"
"14.09.2024","137.158","139.069","139.755","135.730","2.14M","-1.37%"
"13.09.2024","139.069","136.038","139.744","131.812","3.85M","2.23%"
"12.09.2024","136.038","132.404","136.659","132.394","3.47M","2.75%"
"11.09.2024","132.404","135.619","135.875","128.347","4.31M","-2.36%"
"10.09.2024","135.604","135.050","137.863","132.573","3.38M","0.41%"
"09.09.2024","135.048","130.127","136.853","127.102","5.01M","3.81%"
"08.09.2024","130.092","127.729","131.538","126.654","2.83M","1.85%"
"07.09.2024","127.733","125.042","129.334","124.227","2.93M","2.16%"
"06.09.2024","125.031","129.462","134.215","120.927","7.68M","-3.42%"
"05.09.2024","129.462","133.652","135.300","127.960","3.91M","-3.13%"
"04.09.2024","133.652","127.505","134.826","122.836","5.71M","4.86%"
"03.09.2024","127.457","134.949","137.234","127.314","3.82M","-5.55%"
"02.09.2024","134.948","128.565","135.377","127.149","4.44M","4.96%"
"01.09.2024","128.572","135.342","136.031","127.870","4.27M","-5.00%"
"31.08.2024","135.342","137.980","139.183","134.545","1.92M","-1.91%"
"30.08.2024","137.975","140.025","141.067","132.328","5.44M","-1.46%"
"29.08.2024","140.025","143.928","147.310","138.186","4.10M","-2.71%"
"28.08.2024","143.928","146.923","148.709","140.658","5.65M","-2.04%"
"27.08.2024","146.921","157.137","159.544","145.275","5.10M","-6.50%"
"26.08.2024","157.136","159.057","161.878","155.594","4.46M","-1.22%"
"25.08.2024","159.083","160.667","161.951","155.331","3.56M","-0.99%"
"24.08.2024","160.667","153.150","162.146","152.014","5.21M","4.91%"
"23.08.2024","153.150","143.214","153.757","142.743","5.26M","6.95%"
"22.08.2024","143.194","142.719","144.780","140.820","2.73M","0.33%"
"21.08.2024","142.726","142.287","144.328","139.003","3.81M","0.30%"
"20.08.2024","142.295","144.308","148.629","141.173","4.35M","-1.39%"
"19.08.2024","144.304","142.406","145.548","140.390","3.98M","1.32%"
"18.08.2024","142.420","141.932","146.997","140.759","3.83M","0.36%"
"17.08.2024","141.914","139.044","141.941","137.664","2.34M","2.06%"
"16.08.2024","139.044","142.491","144.836","136.226","5.55M","-2.41%"
"15.08.2024","142.479","143.763","147.433","138.086","6.05M","-0.89%"
"14.08.2024","143.765","146.668","151.866","142.582","5.48M","-1.98%"
"13.08.2024","146.663","146.321","149.722","143.011","4.04M","0.23%"
"12.08.2024","146.321","141.455","150.688","141.419","6.77M","3.45%"
"11.08.2024","141.440","154.018","157.798","141.243","4.84M","-8.17%"
"10.08.2024","154.016","156.247","158.452","152.716","2.91M","-1.43%"
"09.08.2024","156.247","162.990","163.485","151.041","6.31M","-4.10%"
"08.08.2024","162.920","144.623","163.291","141.490","10.70M","12.81%"
"07.08.2024","144.422","144.429","154.964","142.476","11.67M","0.03%"
"06.08.2024","144.385","129.702","149.307","129.529","11.68M","11.32%"
"05.08.2024","129.702","138.288","139.091","110.155","34.18M","-6.13%"
"04.08.2024","138.174","142.442","146.004","131.836","9.60M","-3.00%"
"03.08.2024","142.442","152.837","153.893","140.109","7.40M","-6.80%"
"02.08.2024","152.837","167.480","169.337","150.067","8.07M","-8.76%"
"01.08.2024","167.504","171.678","172.776","158.034","8.05M","-2.43%"
"31.07.2024","171.678","179.084","184.270","171.678","4.87M","-4.12%"
"30.07.2024","179.061","182.550","184.683","175.628","4.55M","-1.94%"
"29.07.2024","182.606","184.906","193.890","181.681","5.72M","-1.24%"
"28.07.2024","184.904","183.818","186.579","181.303","2.79M","0.59%"
"27.07.2024","183.818","183.058","188.137","178.149","4.98M","0.42%"
"26.07.2024","183.058","171.842","183.506","171.842","4.41M","6.53%"
"25.07.2024","171.837","178.142","179.549","165.693","6.74M","-3.51%"
"24.07.2024","178.082","173.003","182.383","171.035","5.05M","2.94%"
"23.07.2024","173.000","178.961","180.495","170.868","5.13M","-3.33%"
"22.07.2024","178.958","184.414","184.860","176.837","4.47M","-2.96%"
"21.07.2024","184.414","173.614","184.959","170.733","5.01M","6.22%"
"20.07.2024","173.607","169.155","174.965","167.361","3.06M","2.63%"
"19.07.2024","169.153","159.214","171.244","156.287","6.56M","6.25%"
"18.07.2024","159.209","155.477","161.546","155.304","3.63M","2.50%"
"17.07.2024","155.325","160.620","163.602","154.712","4.10M","-3.24%"
"16.07.2024","160.527","159.614","162.444","152.744","5.54M","0.57%"
"15.07.2024","159.616","147.694","159.933","147.053","4.94M","8.08%"
"14.07.2024","147.687","141.884","148.536","141.884","4.19M","4.09%"
"13.07.2024","141.884","139.497","143.508","137.991","2.20M","1.71%"
"12.07.2024","139.497","135.734","140.504","134.091","4.19M","2.74%"
"11.07.2024","135.776","142.082","145.511","135.735","4.78M","-4.43%"
"10.07.2024","142.077","141.368","145.963","138.669","3.85M","0.50%"
"09.07.2024","141.368","139.713","144.039","136.548","4.78M","1.16%"
"08.07.2024","139.747","131.492","141.723","128.120","7.88M","6.30%"
"07.07.2024","131.462","143.101","143.288","131.355","3.76M","-8.16%"
"06.07.2024","143.147","134.306","144.084","132.452","4.11M","6.58%"
"05.07.2024","134.309","127.674","136.137","121.261","10.68M","5.20%"
"04.07.2024","127.674","140.774","142.676","127.292","7.37M","-9.29%"
"03.07.2024","140.744","153.905","154.439","139.490","6.14M","-8.55%"
"02.07.2024","153.909","146.671","154.946","146.142","4.07M","4.94%"
"01.07.2024","146.669","146.553","149.088","145.871","3.68M","0.07%"
"30.06.2024","146.560","140.189","147.427","137.177","3.35M","4.55%"
"29.06.2024","140.185","139.961","143.008","139.713","2.68M","0.18%"
"28.06.2024","139.930","149.713","150.387","139.015","5.03M","-6.53%"
"27.06.2024","149.703","136.793","150.960","135.224","6.31M","9.43%"
"26.06.2024","136.796","136.573","140.325","134.910","3.63M","0.16%"
"25.06.2024","136.573","132.326","139.822","131.208","6.08M","3.25%"
"24.06.2024","132.275","128.638","132.546","123.337","8.62M","2.82%"
"23.06.2024","128.644","133.692","135.071","128.219","2.44M","-3.77%"
"22.06.2024","133.689","134.529","136.625","133.101","1.97M","-0.63%"
"21.06.2024","134.536","133.527","135.309","128.772","4.77M","0.76%"
"20.06.2024","133.527","135.652","141.118","131.977","5.02M","-1.56%"
"19.06.2024","135.646","137.394","141.771","134.658","4.66M","-1.26%"
